Episode = 91, Score = -7.2286347664609, Avg_Score = -215.05375586078225
Episode = 92, Score = -58.11205492262249, Avg_Score = -195.64616668837175
Episode = 93, Score = -331.9919919574533, Avg_Score = -201.14197961415385
Episode = 94, Score = -138.98445928038797, Avg_Score = -187.49481046249042
Episode = 95, Score = -100.56671605584113, Avg_Score = -169.58642558672233
Episode = 96, Score = -79.22638718300232, Avg_Score = -152.354942603733
Episode = 97, Score = -40.184888204268674, Avg_Score = -134.37341513670992
Episode = 98, Score = -157.94522201505976, Avg_Score = -140.16376064082425
Episode = 99, Score = -125.73960512655555, Avg_Score = -126.56013582263446
Episode = 100, Score = -29.285822074845356, Avg_Score = -106.92657815864975
Episode = 101, Score = -156.9389994416198, Avg_Score = -121.89761462616563
Episode = 102, Score = -261.76931814694564, Avg_Score = -142.26334094859797
Episode = 103, Score = -117.38033711258574, Avg_Score = -120.80217546411117
Episode = 104, Score = -261.66394169652966, Avg_Score = -133.0701237057254
Episode = 105, Score = -115.50948265980844, Avg_Score = -134.56440036612207
Episode = 106, Score = -192.3048670613791, Avg_Score = -145.8722483539598
Episode = 107, Score = -240.82385505958123, Avg_Score = -165.93614503949104
Episode = 108, Score = -222.48598297946506, Avg_Score = -172.39022113593157
Episode = 109, Score = -223.90624787808522, Avg_Score = -182.20688541108453
Episode = 110, Score = -190.78515261832902, Avg_Score = -198.3568184654329
Episode = 111, Score = -202.3509166590984, Avg_Score = -202.89801018718077
Episode = 112, Score = -115.81809761775898, Avg_Score = -188.30288813426208
Episode = 113, Score = -292.35533963812964, Avg_Score = -205.80038838681648
Episode = 114, Score = -194.85098582184378, Avg_Score = -199.1190927993479
Episode = 115, Score = -531.4530742889019, Avg_Score = -240.7134519622572
Episode = 116, Score = -72.17884676842172, Avg_Score = -228.7008499329615
Episode = 117, Score = -222.65632066382597, Avg_Score = -226.88409649338595
Episode = 118, Score = -165.48392899625722, Avg_Score = -221.1838910950652
Episode = 119, Score = -115.70275038490865, Avg_Score = -210.36354134574754
Episode = 120, Score = -210.11981033933566, Avg_Score = -212.2970071178482
Episode = 121, Score = -153.01315320478477, Avg_Score = -207.3632307724168
Episode = 122, Score = -147.22936492363252, Avg_Score = -210.5043575030042
Episode = 123, Score = -68.01165852308233, Avg_Score = -188.06998939149946
Episode = 124, Score = -24.35511506586049, Avg_Score = -171.02040231590112
Episode = 125, Score = -260.9014341104859, Avg_Score = -143.96523829805955
Episode = 126, Score = -144.40235638919836, Avg_Score = -151.18758926013717
Episode = 127, Score = -354.85023078889935, Avg_Score = -164.40698027264452
Episode = 128, Score = -122.04597782153492, Avg_Score = -160.0631851551723
Episode = 129, Score = -389.46405165045354, Avg_Score = -187.43931528172678
Episode = 130, Score = -160.65025665231713, Avg_Score = -182.49235991302493
Episode = 131, Score = -158.84237622481106, Avg_Score = -183.07528221502756
Episode = 132, Score = -102.01991736293519, Avg_Score = -178.55433745895783
Episode = 133, Score = -98.12978774019194, Avg_Score = -181.56615038066877
Episode = 134, Score = -289.04039147980836, Avg_Score = -208.0346780220636
Episode = 135, Score = -164.93201434249906, Avg_Score = -198.4377360452649
Episode = 136, Score = -280.07950520292843, Avg_Score = -212.00545092663788
Episode = 137, Score = -211.10219088035865, Avg_Score = -197.63064693578383
Episode = 138, Score = -168.34546966536695, Avg_Score = -202.26059612016704
Episode = 139, Score = -39.39108842139488, Avg_Score = -167.25329979726115
Episode = 140, Score = -144.60772467598716, Avg_Score = -165.64904659962818
Episode = 141, Score = 21.23070021588694, Avg_Score = -147.64173895555837
Episode = 142, Score = -68.72247426689424, Avg_Score = -144.31199464595431
Episode = 143, Score = 148.22664161658358, Avg_Score = -119.67635171027675
Episode = 144, Score = 147.49583323894745, Avg_Score = -76.02272923840114
Episode = 145, Score = -56.256766586072175, Avg_Score = -65.15520446275846
Episode = 146, Score = 233.54664849818226, Avg_Score = -13.79258909264738
Episode = 147, Score = -45.2002929563392, Avg_Score = 2.7976006997545637
Episode = 148, Score = -467.7558347989643, Avg_Score = -27.143435813605173
Episode = 149, Score = -217.94692089203747, Avg_Score = -44.999019060669426
Episode = 150, Score = -179.4254298550055, Avg_Score = -48.480789578571276
Episode = 151, Score = -307.8901473279165, Avg_Score = -81.3928743329516
Episode = 152, Score = 122.5816994162966, Avg_Score = -62.262456964632534
Episode = 153, Score = -92.15460285085139, Avg_Score = -86.30058141137602
Episode = 154, Score = -203.8050221291429, Avg_Score = -121.43066694818506
Episode = 155, Score = -237.35087075241702, Avg_Score = -139.54007736481952
Episode = 156, Score = 214.55142587419812, Avg_Score = -141.43959962721797
Episode = 157, Score = -13.6274940838791, Avg_Score = -138.28231973997197
Episode = 158, Score = 153.38650790613332, Avg_Score = -76.1680854694622
Episode = 159, Score = -139.50343121614083, Avg_Score = -68.3237365018725
Episode = 160, Score = 151.07319596918467, Avg_Score = -35.27387391945351
Episode = 161, Score = -186.5075911018979, Avg_Score = -23.135618296851643
Episode = 162, Score = 211.56520361362215, Avg_Score = -14.237267877119091
Episode = 163, Score = -50.63791431686262, Avg_Score = -10.085599023720208
Episode = 164, Score = 221.5532957784743, Avg_Score = 32.450232767041506
Episode = 165, Score = -338.48943009416087, Avg_Score = 22.33637683286712
Episode = 166, Score = -375.9864881698731, Avg_Score = -36.717414571540004
Episode = 167, Score = -156.67855620257404, Avg_Score = -51.02252078340949
Episode = 168, Score = -152.06216837905504, Avg_Score = -81.56738841192832
Episode = 169, Score = -111.24165227921907, Avg_Score = -78.74121051823616
Episode = 170, Score = -364.3059845998151, Avg_Score = -130.27912857513613
Episode = 171, Score = 89.51728209826153, Avg_Score = -102.67664125512017
Episode = 172, Score = 246.04513201311877, Avg_Score = -99.22864841517053
Episode = 173, Score = 175.3619757827548, Avg_Score = -76.62865940520877
Episode = 174, Score = 147.18682113676607, Avg_Score = -84.0653068693796
Episode = 175, Score = -101.80062089183556, Avg_Score = -60.396425949147066
Episode = 176, Score = -104.82907497211545, Avg_Score = -33.28068462937132
Episode = 177, Score = -81.04748783935716, Avg_Score = -25.71757779304961
Episode = 178, Score = -108.20856374863118, Avg_Score = -21.332217330007232
Episode = 179, Score = -5.149745005192642, Avg_Score = -10.723026602604588
Episode = 180, Score = -183.83221551906422, Avg_Score = 7.324350305470494
Episode = 181, Score = -19.359371463824402, Avg_Score = -3.5633150507381
Episode = 182, Score = 187.29337708043983, Avg_Score = -9.438490544005992
Episode = 183, Score = -90.16641286951166, Avg_Score = -35.991329409232634
Episode = 184, Score = -105.8802414131548, Avg_Score = -61.29803566422472
Episode = 185, Score = -54.373314440174006, Avg_Score = -56.55530501905857
Episode = 186, Score = -67.51673553820297, Avg_Score = -52.82407107566733
Episode = 187, Score = -74.78191400841001, Avg_Score = -52.1975136925726
Episode = 188, Score = -35.27151524710416, Avg_Score = -44.903808842419906
Episode = 189, Score = -282.2165686112174, Avg_Score = -72.61049120302238
Episode = 190, Score = -14.48959174658232, Avg_Score = -55.67622882577418
Episode = 191, Score = -98.45402904842777, Avg_Score = -63.585694584234524
Episode = 192, Score = -74.08013737470733, Avg_Score = -89.72304602974923
Episode = 193, Score = 186.66766089588535, Avg_Score = -62.039638653209536
Episode = 194, Score = 198.06459509128715, Avg_Score = -31.645155002765343
Episode = 195, Score = 202.52636534128936, Avg_Score = -5.955187024619005
Episode = 196, Score = 53.159649738454824, Avg_Score = 6.112451503046769
Episode = 197, Score = 114.30917558548602, Avg_Score = 25.021560462436373
Episode = 198, Score = -18.36536149674542, Avg_Score = 26.712175837472238
Episode = 199, Score = -199.965418055068, Avg_Score = 34.93729089308719
Episode = 200, Score = 208.0239238395753, Avg_Score = 57.18864245170296
Episode = 201, Score = -179.1686008136293, Avg_Score = 49.11718527518279
Episode = 202, Score = -275.7497748077742, Avg_Score = 28.950221531876103
Episode = 203, Score = -12.399359517404392, Avg_Score = 9.043519490547139
Episode = 204, Score = -185.39101987247034, Avg_Score = -29.30204200582861
Episode = 205, Score = -207.865848537895, Avg_Score = -70.34126339374704
Episode = 206, Score = 60.14977150175132, Avg_Score = -69.6422512174174
Episode = 207, Score = -271.5890074414004, Avg_Score = -108.23206952010602
Episode = 208, Score = -222.9099490855193, Avg_Score = -128.68652827898342
Episode = 209, Score = -204.0622078154249, Avg_Score = -129.09620725501912
Episode = 210, Score = 197.22896902476447, Avg_Score = -130.1757027365002
Episode = 211, Score = -37.94023973174842, Avg_Score = -116.05286662831213
Episode = 212, Score = 229.0271007132903, Avg_Score = -65.57517907620566
Episode = 213, Score = 131.5032284153465, Avg_Score = -51.18492028293057
Episode = 214, Score = -231.32462017891962, Avg_Score = -55.7782803135755
Episode = 215, Score = -13.393222878708286, Avg_Score = -36.331017747656816
Episode = 216, Score = -135.75769466588417, Avg_Score = -55.92176436442037
Episode = 217, Score = 91.73780121097464, Avg_Score = -19.589083499182873
Episode = 218, Score = 170.34313874560524, Avg_Score = 19.736225283929578
Episode = 219, Score = -94.46803560869219, Avg_Score = 30.69564250460286
Episode = 220, Score = -74.02160347879766, Avg_Score = 3.5705852542466348
Episode = 221, Score = -139.3522938625264, Avg_Score = -6.570620158831164
Episode = 222, Score = -99.14205581589518, Avg_Score = -39.387535811749714
Episode = 223, Score = 158.41577003864492, Avg_Score = -36.69628164941987
Episode = 224, Score = -51.16812770169382, Avg_Score = -18.680632401697295
Episode = 225, Score = 187.02651950633398, Avg_Score = 1.3613418368069374
Episode = 226, Score = 179.37255863357825, Avg_Score = 32.874367166753174
Episode = 227, Score = -87.90200948642615, Avg_Score = 14.910386097013099
Episode = 228, Score = 99.7328272016815, Avg_Score = 7.849354942620725
Episode = 229, Score = 153.62312664652785, Avg_Score = 32.65847116814273
Episode = 230, Score = -147.43860975258826, Avg_Score = 25.316770540763674
Episode = 231, Score = 127.94126566343789, Avg_Score = 52.0461264933601
Episode = 232, Score = 194.91205939016717, Avg_Score = 81.45153801396634
Episode = 233, Score = 225.82972484438142, Avg_Score = 88.19293349453999
Episode = 234, Score = 199.40073390498674, Avg_Score = 113.24981965520806
Episode = 235, Score = 153.4122976071219, Avg_Score = 109.88839746528683
Episode = 236, Score = 175.83090575722795, Avg_Score = 109.5342321776518
Episode = 237, Score = 176.25114642743057, Avg_Score = 135.94954776903748
Episode = 238, Score = 174.7500659132626, Avg_Score = 143.45127164019559
Episode = 239, Score = 165.04726796638334, Avg_Score = 144.59368577218115
Episode = 240, Score = -52.32775222508471, Avg_Score = 154.1047715249315
Episode = 241, Score = -132.4531734587734, Avg_Score = 128.0653276127104
Episode = 242, Score = 182.9604638953278, Avg_Score = 126.87016806322643
Episode = 243, Score = -243.31229001865103, Avg_Score = 79.95596657692317
Episode = 244, Score = 220.11705330318188, Avg_Score = 82.02759851674269
Episode = 245, Score = 262.75208390017315, Avg_Score = 92.96157714604783
Episode = 246, Score = -66.24055428015959, Avg_Score = 68.75443114230907
Episode = 247, Score = -95.17524124538117, Avg_Score = 41.61179237502789
Episode = 248, Score = 201.4192703214892, Avg_Score = 44.27871281585055
Episode = 249, Score = 198.89316463083293, Avg_Score = 47.66330248229551
Episode = 250, Score = -57.313670969332875, Avg_Score = 47.16471060787069
Episode = 251, Score = 181.35285650577043, Avg_Score = 78.54531360432506
Episode = 252, Score = 161.99821569738998, Avg_Score = 76.4490887845313
Episode = 253, Score = 260.96807786369715, Avg_Score = 126.87712557276609
Episode = 254, Score = 252.80353620241155, Avg_Score = 130.14577386268905
Episode = 255, Score = 228.920901707158, Avg_Score = 126.76265564338755
Episode = 256, Score = -115.12771125385298, Avg_Score = 121.87393994601821
Episode = 257, Score = -63.89421947486932, Avg_Score = 125.00204212306942
Episode = 258, Score = 196.4164139639053, Avg_Score = 124.50175648731104
Episode = 259, Score = -215.41677935507184, Avg_Score = 83.07076208872054
Episode = 260, Score = 269.95362048159495, Avg_Score = 115.79749123381332
Episode = 261, Score = 212.4204852143099, Avg_Score = 118.90425410466727
Episode = 262, Score = 251.18493081743753, Avg_Score = 127.82292561667202
Episode = 263, Score = 27.944408457512026, Avg_Score = 104.52055867605353
Episode = 264, Score = 202.42680389067087, Avg_Score = 99.48288544487944
Episode = 265, Score = 209.946187852329, Avg_Score = 97.58541405939654
Episode = 266, Score = 173.36824474957388, Avg_Score = 126.43500965973924
Episode = 267, Score = -83.88217795655943, Avg_Score = 124.43621381157023
Episode = 268, Score = -66.13999290694363, Avg_Score = 98.18057312448532
Episode = 269, Score = -99.32265901625378, Avg_Score = 109.78998515836713
Episode = 270, Score = 249.61023066261723, Avg_Score = 107.75564617646937
Episode = 271, Score = 196.11761305161033, Avg_Score = 106.1253589601994
Episode = 272, Score = 221.70908035278828, Avg_Score = 103.17777391373447
Episode = 273, Score = 238.67660827368968, Avg_Score = 124.25099389535224
Episode = 274, Score = -96.41418162741209, Avg_Score = 94.36689534354393
Episode = 275, Score = -267.94271637983866, Avg_Score = 46.57800492032718
Episode = 276, Score = 34.31977722366895, Avg_Score = 32.673158167736695
Episode = 277, Score = 162.60489613663236, Avg_Score = 57.321865577055874
Episode = 278, Score = 193.6544081659913, Avg_Score = 83.30130568434936
Episode = 279, Score = 246.8924526015372, Avg_Score = 117.92281684612847
Episode = 280, Score = 80.02003542902385, Avg_Score = 100.96379732276912
Episode = 281, Score = 116.24212248730218, Avg_Score = 92.97624826633832
Episode = 282, Score = -160.29352885170547, Avg_Score = 54.77598734588893
Episode = 283, Score = -115.5413984381374, Avg_Score = 19.35418667470623
Episode = 284, Score = 153.34066013227155, Avg_Score = 44.32967085067459
Episode = 285, Score = -157.04683784991414, Avg_Score = 55.41925870366704
Episode = 286, Score = 158.6488381770243, Avg_Score = 67.85216479900257
Episode = 287, Score = 172.47668969856778, Avg_Score = 68.83934415519612
Episode = 288, Score = 130.3594648702204, Avg_Score = 62.509849825619014
Episode = 289, Score = 221.31686730751713, Avg_Score = 59.95229129621701
Episode = 290, Score = 186.75960042204358, Avg_Score = 70.62624779551899
Episode = 291, Score = 237.83789962022522, Avg_Score = 82.7858255088113
Episode = 292, Score = 122.35495888524022, Avg_Score = 111.05067428250587
Episode = 293, Score = 171.8986773472114, Avg_Score = 139.79468186104074
Episode = 294, Score = 203.31916284844192, Avg_Score = 144.79253213265775
Episode = 295, Score = 189.86999821934108, Avg_Score = 179.4842157395833
Episode = 296, Score = 128.96877426486822, Avg_Score = 176.51620934836768
Episode = 297, Score = 181.5337615346284, Avg_Score = 177.42191653197375
Episode = 298, Score = 173.41016603148262, Avg_Score = 181.7269866481
Episode = 299, Score = 172.9894416512815, Avg_Score = 176.8942440824764
Episode = 300, Score = 184.9060328773504, Avg_Score = 176.70888732800708
Episode = 301, Score = 250.9779576138897, Avg_Score = 178.02289312737355
Episode = 302, Score = 214.3338311983221, Avg_Score = 187.22078035868174
Episode = 303, Score = 209.53898704948227, Avg_Score = 190.98481132890885
Episode = 304, Score = 9.583171185026657, Avg_Score = 171.6112121625673
Episode = 305, Score = 8.045508670250257, Avg_Score = 153.42876320765822
Episode = 306, Score = -55.652973955097714, Avg_Score = 134.96658838566162
Episode = 307, Score = -223.05747874328944, Avg_Score = 94.50746435786985
