Episode = 98, Score = 213.205758355863, Avg_Score = -10.370513522150777
Episode = 99, Score = 206.5669245357144, Avg_Score = -0.0374303887151143
Episode = 100, Score = 241.1134323080187, Avg_Score = 37.24775192249933
Episode = 101, Score = 189.9149215318455, Avg_Score = 72.77960550393674
Episode = 102, Score = 196.36595124173394, Avg_Score = 109.2416026525668
Episode = 103, Score = -137.66744451703136, Avg_Score = 102.90274028094464
Episode = 104, Score = 253.71455917274733, Avg_Score = 113.97329336398454
Episode = 105, Score = 160.76882234618415, Avg_Score = 116.69137682121934
Episode = 106, Score = 212.52127863808664, Avg_Score = 140.7042810017628
Episode = 107, Score = 263.24954509144874, Avg_Score = 179.97537487046108
Episode = 108, Score = 175.85958429145973, Avg_Score = 176.24075746402076
Episode = 109, Score = 154.07902115448542, Avg_Score = 170.99196712589787
Episode = 110, Score = -49.14478955923271, Avg_Score = 141.96614493917272
Episode = 111, Score = 230.10216477993774, Avg_Score = 145.98486926398195
Episode = 112, Score = 237.54402616953718, Avg_Score = 150.1026767567623
Episode = 113, Score = 261.0854892566724, Avg_Score = 189.97797013413268
Episode = 114, Score = 260.45014007303473, Avg_Score = 190.65152822416138
Episode = 115, Score = 290.49131009889913, Avg_Score = 203.6237769994329
Episode = 116, Score = -330.776955314213, Avg_Score = 149.29395360420295
Episode = 117, Score = 230.1109846006021, Avg_Score = 145.98009755511825
Episode = 118, Score = 151.48244293618802, Avg_Score = 143.5423834195911
Episode = 119, Score = 262.8799869488561, Avg_Score = 154.42247999902816
Episode = 120, Score = 258.9113372802838, Avg_Score = 185.22809268297982
Episode = 121, Score = 250.43548625641012, Avg_Score = 187.26142483062705
Episode = 122, Score = -284.40230891058974, Avg_Score = 135.0667913226144
Episode = 123, Score = 221.84209897429716, Avg_Score = 131.14245229437685
Episode = 124, Score = 243.53056045483126, Avg_Score = 129.4504943325565
Episode = 125, Score = 190.38365527069314, Avg_Score = 119.43972884973589
Episode = 126, Score = 238.6003545357557, Avg_Score = 176.37745983473278
Episode = 127, Score = 214.81455976863288, Avg_Score = 174.84781735153584
Episode = 128, Score = 218.00849270321706, Avg_Score = 181.50042232823876
Episode = 129, Score = 180.2409897607704, Avg_Score = 173.23652260943018
Episode = 130, Score = 202.1683848499025, Avg_Score = 167.56222736639205
Episode = 131, Score = 274.45168064933097, Avg_Score = 169.9638468056841
Episode = 132, Score = 242.05399139922318, Avg_Score = 222.6094768366654
Episode = 133, Score = 232.19942639701017, Avg_Score = 223.64520957893674
Episode = 134, Score = 156.9599702883914, Avg_Score = 214.98815056229273
Episode = 135, Score = 256.79843369102014, Avg_Score = 221.62962840432542
Episode = 136, Score = -62.578222558669154, Avg_Score = 191.51177069488296
Episode = 137, Score = 194.13671429627726, Avg_Score = 189.44398614764737
Episode = 138, Score = 248.2183338202335, Avg_Score = 192.46497025934906
Episode = 139, Score = -34.50987636131545, Avg_Score = 170.98988364714046
Episode = 140, Score = 245.18079316495687, Avg_Score = 175.2911244786459
Episode = 141, Score = 247.50562663413444, Avg_Score = 172.59651907712623
Episode = 142, Score = 224.7236888231353, Avg_Score = 170.86348881951744
Episode = 143, Score = 209.2049048569172, Avg_Score = 168.56403666550813
Episode = 144, Score = 33.81268833799109, Avg_Score = 156.24930847046815
Episode = 145, Score = 156.7073758789798, Avg_Score = 146.2402026892641
Episode = 146, Score = -35.33612969246191, Avg_Score = 148.96441197588481
Episode = 147, Score = 269.24157138609183, Avg_Score = 156.47489768486628
Episode = 148, Score = 222.45970041878905, Avg_Score = 153.89903434472183
Episode = 149, Score = 248.12305947320363, Avg_Score = 182.16232792817374
Episode = 150, Score = 238.11771895993968, Avg_Score = 181.456020507672
Episode = 151, Score = -4.770242996538087, Avg_Score = 156.22843354460477
Episode = 152, Score = 227.49239266980692, Avg_Score = 156.5053039292719
Episode = 153, Score = 160.27851685271258, Avg_Score = 151.61266512885146
Episode = 154, Score = 273.1312875301827, Avg_Score = 175.54452504807062
Episode = 155, Score = 282.7623789751441, Avg_Score = 188.15002535768707
Episode = 156, Score = 213.69122517256096, Avg_Score = 213.05276084418938
Episode = 157, Score = -445.08026375209613, Avg_Score = 141.62057733037054
Episode = 158, Score = 231.94191084078892, Avg_Score = 142.56879837257054
Episode = 159, Score = 244.7120479591579, Avg_Score = 142.22769722116595
Episode = 160, Score = 268.201259432119, Avg_Score = 145.23605126838387
Episode = 161, Score = 247.57646991086054, Avg_Score = 170.47072255912377
Episode = 162, Score = 206.31529465777504, Avg_Score = 168.35301275792057
Episode = 163, Score = 286.1808237078029, Avg_Score = 180.9432434434296
Episode = 164, Score = 188.19776266975077, Avg_Score = 172.44989095738643
Episode = 165, Score = 24.931124358809186, Avg_Score = 146.66676549575294
Episode = 166, Score = 205.15176261046093, Avg_Score = 145.81281923954293
