Episode = 91, Score = 267.607921173568, Avg_Score = 118.98620335147712
Episode = 92, Score = 310.0765295638157, Avg_Score = 139.19696293304196
Episode = 93, Score = 257.8944699459798, Avg_Score = 163.41716305398378
Episode = 94, Score = 206.57570112674307, Avg_Score = 171.98294215267225
Episode = 95, Score = 281.7935855723881, Avg_Score = 191.261459155144
Episode = 96, Score = 266.6157514584813, Avg_Score = 218.20489172259013
Episode = 97, Score = 131.80136050670083, Avg_Score = 233.18051835914676
Episode = 98, Score = 234.13242239435652, Avg_Score = 232.87925928243467
Episode = 99, Score = 275.14388445636945, Avg_Score = 232.2114597662775
Episode = 100, Score = 301.52239256673766, Avg_Score = 253.31640187651405
Episode = 101, Score = 244.55733063125453, Avg_Score = 251.01134282228273
Episode = 102, Score = 282.520987035894, Avg_Score = 248.25578856949056
Episode = 103, Score = 303.60853262780597, Avg_Score = 252.82719483767315
Episode = 104, Score = 286.9721051268559, Avg_Score = 260.8668352376844
Episode = 105, Score = -8.48378821252497, Avg_Score = 231.83909785919315
Episode = 106, Score = 295.6357134764586, Avg_Score = 234.74109406099086
Episode = 107, Score = 286.6788071888068, Avg_Score = 250.2288387292014
Episode = 108, Score = 162.811284001439, Avg_Score = 243.09672488990972
Episode = 109, Score = 270.8609029034577, Avg_Score = 242.66842673461852
Episode = 110, Score = 254.60741404679942, Avg_Score = 237.9769288826247
Episode = 111, Score = 187.49450976510704, Avg_Score = 232.27064679600994
Episode = 112, Score = 231.66022166393446, Avg_Score = 227.18457025881398
Episode = 113, Score = 216.59856677715703, Avg_Score = 218.4835736737491
Episode = 114, Score = 37.344907974620924, Avg_Score = 193.5208539585256
Episode = 115, Score = 163.7497925499266, Avg_Score = 210.74421203477073
Episode = 116, Score = 238.93928976015158, Avg_Score = 205.07456966314004
Episode = 117, Score = 118.74628510769547, Avg_Score = 188.2813174550289
Episode = 118, Score = 96.4553997283991, Avg_Score = 181.64572902772494
Episode = 119, Score = 75.793321863452, Avg_Score = 162.13897092372434
