Episode = 91, Score = 135.33596218739345, Avg_Score = 210.730497399985
Episode = 92, Score = 241.26936826147912, Avg_Score = 211.05887235548497
Episode = 93, Score = 248.97007965147603, Avg_Score = 211.46218307139978
Episode = 94, Score = 275.46703852280746, Avg_Score = 212.13591839194092
Episode = 95, Score = 277.5194104762969, Avg_Score = 212.81699643448624
Episode = 96, Score = 284.3779839445634, Avg_Score = 213.5547385737654
Episode = 97, Score = 237.54592787810606, Avg_Score = 213.79954662789132
Episode = 98, Score = 245.263203537425, Avg_Score = 214.11736134414923
Episode = 99, Score = 113.53099308553287, Avg_Score = 213.11149766156308
Episode = 100, Score = 226.60277064835563, Avg_Score = 213.05389036012966
Episode = 101, Score = 244.65161487378413, Avg_Score = 212.74422231106476
Episode = 102, Score = 264.3765261472312, Avg_Score = 214.50639990765976
Episode = 103, Score = 266.58533771056807, Avg_Score = 214.36703601470825
Episode = 104, Score = 264.98912936464353, Avg_Score = 215.3966345196629
Episode = 105, Score = 137.02083271930138, Avg_Score = 214.00063041257494
Episode = 106, Score = 250.12783075904863, Avg_Score = 214.54229495512328
Episode = 107, Score = 257.7459520707205, Avg_Score = 214.4110549629249
Episode = 108, Score = 273.2581467084954, Avg_Score = 214.91288358733226
Episode = 109, Score = 253.65333282240056, Avg_Score = 215.3108930752259
Episode = 110, Score = 292.46157524168416, Avg_Score = 215.57567645038907
Episode = 111, Score = 104.54710537861075, Avg_Score = 215.29467780992942
Episode = 112, Score = 236.8361834107972, Avg_Score = 216.58037879575662
Episode = 113, Score = 150.34091007383986, Avg_Score = 216.5948089156146
Episode = 114, Score = 293.57792131764614, Avg_Score = 219.2387873066765
Episode = 115, Score = 102.99161988585507, Avg_Score = 217.2941757077369
Episode = 116, Score = 235.3961680980515, Avg_Score = 218.27389334187902
Episode = 117, Score = 124.56544237634972, Avg_Score = 218.30503905113594
Episode = 118, Score = 236.98677677023352, Avg_Score = 218.3362683875718
Episode = 119, Score = 152.48659105901902, Avg_Score = 217.22943429878723
Episode = 120, Score = 257.6400883133699, Avg_Score = 217.05578700141734
Episode = 121, Score = 275.297859993728, Avg_Score = 217.08353255777166
Episode = 122, Score = 270.05174561948536, Avg_Score = 216.8360378270242
Episode = 123, Score = 136.14091051422952, Avg_Score = 216.66089590931807
Episode = 124, Score = 252.66047009574362, Avg_Score = 216.73976916205967
Episode = 125, Score = 264.7585515853585, Avg_Score = 219.36675965368767
Episode = 126, Score = 278.8652585459013, Avg_Score = 219.52599367031135
Episode = 127, Score = 248.814596806353, Avg_Score = 219.41569890747792
Episode = 128, Score = 277.94394126016357, Avg_Score = 220.6223786331336
Episode = 129, Score = 284.5189647199704, Avg_Score = 220.9533988834512
Episode = 130, Score = 285.64165005646953, Avg_Score = 221.04633080661839
Episode = 131, Score = 244.70736078468343, Avg_Score = 221.0478409663034
Episode = 132, Score = 273.7310771875996, Avg_Score = 221.5683024815085
Episode = 133, Score = 154.8658627168315, Avg_Score = 221.49764988919299
Episode = 134, Score = 247.35311194008557, Avg_Score = 222.49136712979964
Episode = 135, Score = 287.8928178635439, Avg_Score = 224.22092172542057
Episode = 136, Score = 258.1359370938293, Avg_Score = 224.23857036394185
Episode = 137, Score = 147.6605492342246, Avg_Score = 222.9058108419401
Episode = 138, Score = 256.88913197345283, Avg_Score = 223.03077215102357
Episode = 139, Score = 171.92875083749735, Avg_Score = 222.38860745304748
Episode = 140, Score = 282.7538403871612, Avg_Score = 222.47435431488674
Episode = 141, Score = 281.3570489704806, Avg_Score = 223.83307749282952
Episode = 142, Score = 256.9490722366236, Avg_Score = 223.64173737845877
Episode = 143, Score = 177.66152126491596, Avg_Score = 222.9195503627416
Episode = 144, Score = 286.7692676197328, Avg_Score = 223.26031305029557
Episode = 145, Score = 133.8345948473119, Avg_Score = 222.05199722022485
Episode = 146, Score = 281.1349493158177, Avg_Score = 223.73727431789732
Episode = 147, Score = 233.0322571779135, Avg_Score = 223.32923232000508
Episode = 148, Score = 295.2788891622033, Avg_Score = 223.9855273448391
Episode = 149, Score = 273.71145607191534, Avg_Score = 224.2286594643214
Episode = 150, Score = 35.981989419197134, Avg_Score = 222.01486168701052
Episode = 151, Score = 120.8582999364835, Avg_Score = 220.33827234955072
Episode = 152, Score = 259.8786251151057, Avg_Score = 220.57163164842504
Episode = 153, Score = 277.59977324780755, Avg_Score = 220.72599177361278
Episode = 154, Score = 238.88631496045303, Avg_Score = 220.7609819147026
Episode = 155, Score = 245.43107943443465, Avg_Score = 220.7671339315875
Episode = 156, Score = 267.3949229158392, Avg_Score = 220.87892152555025
Episode = 157, Score = 241.30947090140884, Avg_Score = 221.01006266237582
Episode = 158, Score = 273.1470405381605, Avg_Score = 222.29668342804166
Episode = 159, Score = 138.01213171080806, Avg_Score = 221.11662212404957
Episode = 160, Score = 247.89072397356293, Avg_Score = 220.7366431666548
Episode = 161, Score = 114.4602634746889, Avg_Score = 220.72945449302594
Episode = 162, Score = 125.49697379382638, Avg_Score = 219.60898039698822
Episode = 163, Score = 242.06419110837666, Avg_Score = 219.49791351263295
Episode = 164, Score = 266.5521915396137, Avg_Score = 220.5782578962128
Episode = 165, Score = 269.95196865493483, Avg_Score = 221.8405994197136
Episode = 166, Score = 246.26740197287862, Avg_Score = 221.48752246328803
