Episode = 153, Score = 211.47179663572518, Avg_Score = 129.71547827534397
Episode = 154, Score = 247.1427595910907, Avg_Score = 174.84749287914036
Episode = 155, Score = 237.02662457833497, Avg_Score = 203.3873178381329
Episode = 156, Score = 268.4075027722678, Avg_Score = 214.2603304362883
Episode = 158, Score = 230.37951960740503, Avg_Score = 210.21543454941948
Episode = 159, Score = 218.97595062415843, Avg_Score = 208.06317697498085
Episode = 160, Score = 236.96654458114568, Avg_Score = 204.1985176155793
Episode = 161, Score = 291.15236505598585, Avg_Score = 244.1972196116
Episode = 162, Score = -179.87474824467918, Avg_Score = 201.28067822804684
Episode = 163, Score = -283.47042486430064, Avg_Score = 147.81778903371338
Episode = 164, Score = 186.22333984616105, Avg_Score = 145.29294335475697
Episode = 165, Score = 242.85143561006103, Avg_Score = 144.86381095665402
Episode = 166, Score = 170.7893539275455, Avg_Score = 138.24008389157507
Episode = 167, Score = 275.41900887749875, Avg_Score = 138.94123450209815
Episode = 168, Score = 261.08348086540843, Avg_Score = 142.0116306278985
Episode = 170, Score = 256.5120419203166, Avg_Score = 145.76523975751434
Episode = 171, Score = 233.79463080460692, Avg_Score = 145.4480483798604
Episode = 174, Score = 224.94675215696236, Avg_Score = 138.82748708995808
Episode = 175, Score = 242.9605877843091, Avg_Score = 181.1110206928569
Episode = 176, Score = 285.22563049656435, Avg_Score = 237.98062622894344
Episode = 177, Score = 236.29169856622715, Avg_Score = 242.98746210095004
Episode = 178, Score = 267.67561936646945, Avg_Score = 245.46988047659087
Episode = 179, Score = 271.6378195139166, Avg_Score = 255.554727035228
Episode = 180, Score = 272.5098446371493, Avg_Score = 255.26381061119304
Episode = 181, Score = -246.65778570133946, Avg_Score = 204.48968395451826
Episode = 183, Score = -86.10543475961232, Avg_Score = 170.22793628652533
Episode = 184, Score = 252.72637731750055, Avg_Score = 172.12111093781468
Episode = 185, Score = 202.69738909397012, Avg_Score = 169.89617463151546
Episode = 186, Score = 208.73010746594608, Avg_Score = 166.47312659967918
Episode = 187, Score = 241.25323907342928, Avg_Score = 162.07588745736567
Episode = 188, Score = -115.66651910390428, Avg_Score = 126.88006569035254
Episode = 189, Score = 223.88653693219675, Avg_Score = 122.50115744692525
Episode = 190, Score = 228.96490847296613, Avg_Score = 118.2338663428302
Episode = 191, Score = -6.116322168955847, Avg_Score = 90.3712496622197
Episode = 193, Score = 256.33548073576674, Avg_Score = 140.67057630593035
Episode = 194, Score = 204.30424904887565, Avg_Score = 169.7115446867791
Episode = 196, Score = 304.2123650983001, Avg_Score = 174.86014346485905
Episode = 197, Score = 243.7346735695909, Avg_Score = 178.96387191242118
Episode = 198, Score = 226.91985839733093, Avg_Score = 180.78284700555963
Episode = 199, Score = 235.18180943291654, Avg_Score = 180.17570404150837
Episode = 200, Score = -39.61964761293967, Avg_Score = 187.7803911906048
Episode = 201, Score = 3.513346876150152, Avg_Score = 165.74307218500016
Episode = 203, Score = 284.8678458820326, Avg_Score = 171.3333659259068
Episode = 204, Score = 280.1631140641516, Avg_Score = 199.96130954921756
Episode = 205, Score = 244.1261954953676, Avg_Score = 198.74038102517767
Episode = 206, Score = 180.67652316204237, Avg_Score = 196.3776084364943
Episode = 207, Score = 2.4562418954947987, Avg_Score = 166.2019961162138
Episode = 208, Score = 154.00083720351864, Avg_Score = 157.22861247960654
Episode = 209, Score = 238.25291430378306, Avg_Score = 158.36191807025176
Episode = 210, Score = 282.9334277546618, Avg_Score = 163.13707990242628
Episode = 211, Score = -132.92267355443175, Avg_Score = 153.8067773082771
Episode = 212, Score = 217.56097262501265, Avg_Score = 175.21153988316337
Episode = 213, Score = -90.1058895506218, Avg_Score = 137.7141663398979
Episode = 215, Score = 230.68773049314083, Avg_Score = 132.76662798279682
Episode = 216, Score = 229.06912248930684, Avg_Score = 131.26092068219074
Episode = 217, Score = 227.1773870105989, Avg_Score = 135.9110070670464
Episode = 218, Score = -86.19553529843562, Avg_Score = 127.04582934765335
Episode = 219, Score = 246.05928073763096, Avg_Score = 136.2516737010646
Episode = 220, Score = 247.07984936840234, Avg_Score = 137.1343672075265
Episode = 221, Score = 234.88170082136222, Avg_Score = 132.32919451419656
Episode = 222, Score = 215.12168198635533, Avg_Score = 167.13363006827527
Episode = 223, Score = 279.1331441327804, Avg_Score = 173.29084721905204
