Episode = 0, Score = -68.52735591062611, Avg_Score = -68.52735591062611
Episode = 1, Score = -492.5586450539363, Avg_Score = -280.5430004822812
Episode = 2, Score = -125.0372629339733, Avg_Score = -228.70775463284522
Episode = 3, Score = -47.49822579150942, Avg_Score = -183.40537242251128
Episode = 4, Score = -114.70284716492654, Avg_Score = -169.66486737099433
Episode = 5, Score = -257.7893105741417, Avg_Score = -184.3522745715189
Episode = 6, Score = -480.9960294571741, Avg_Score = -226.7299538408982
Episode = 7, Score = -37.118888492704215, Avg_Score = -203.02857067237397
Episode = 8, Score = -172.19337062053987, Avg_Score = -199.60243733328127
Episode = 9, Score = -122.68185640968645, Avg_Score = -191.9103792409218
Episode = 10, Score = -178.82199095706815, Avg_Score = -202.939842745566
Episode = 11, Score = -269.09531140406403, Avg_Score = -180.59350938057878
Episode = 12, Score = -25.75958654750775, Avg_Score = -170.6657417419322
Episode = 13, Score = -63.65984000618211, Avg_Score = -172.2819031633995
Episode = 14, Score = -63.50444816588847, Avg_Score = -167.16206326349567
Episode = 15, Score = -458.7724061346359, Avg_Score = -187.26037281954513
Episode = 16, Score = -70.5737499632026, Avg_Score = -146.21814487014794
Episode = 19, Score = -430.2287234605168, Avg_Score = -185.52912836692923
Episode = 20, Score = -249.86130763493756, Avg_Score = -193.29592206836895
Episode = 21, Score = -655.0888438581206, Avg_Score = -246.5366208132124
Episode = 22, Score = -242.62310517813236, Avg_Score = -252.91673223531885
Episode = 23, Score = -415.96156148373467, Avg_Score = -267.6033572432859
Episode = 24, Score = -256.36496032839443, Avg_Score = -290.66389462137454
Episode = 25, Score = -403.22011081991525, Avg_Score = -324.61992170274783
Episode = 26, Score = -360.4476111233553, Avg_Score = -354.31423799849455
Episode = 27, Score = -202.97094362546372, Avg_Score = -328.73409174757734
Episode = 28, Score = -157.56233537699518, Avg_Score = -337.4329502889566
Episode = 29, Score = -126.91501790336908, Avg_Score = -307.1015797332418
Episode = 31, Score = -220.4097385818554, Avg_Score = -304.1564228279336
Episode = 32, Score = -165.75812172601536, Avg_Score = -255.22335061472307
Episode = 33, Score = -97.11230653065385, Avg_Score = -240.6722707499752
Episode = 34, Score = -111.58857698654883, Avg_Score = -210.23497230025663
Episode = 35, Score = -74.29973431080307, Avg_Score = -192.0284496984975
Episode = 36, Score = -63.28561487201213, Avg_Score = -158.0350001037072
Episode = 37, Score = -165.92426868485387, Avg_Score = -138.58266585985706
Episode = 38, Score = -493.09248258645, Avg_Score = -167.59481975595568
Episode = 39, Score = -253.8427045635347, Avg_Score = -177.22285667460963
Episode = 40, Score = -317.9044868666872, Avg_Score = -196.32180357094143
