Episode = 0, Score = -249.93299297801212, Avg_Score = -249.93299297801212
Episode = 1, Score = -181.284346665687, Avg_Score = -215.60866982184956
Episode = 2, Score = -81.15608576516307, Avg_Score = -170.79114180295406
Episode = 3, Score = -59.129093021085566, Avg_Score = -142.87562960748693
Episode = 4, Score = -366.82695392586794, Avg_Score = -187.6658944711631
Episode = 5, Score = -236.85277747415776, Avg_Score = -195.86370830499558
Episode = 6, Score = -180.41788846921088, Avg_Score = -193.6571626141692
Episode = 7, Score = -162.92530182258884, Avg_Score = -189.81568001522163
Episode = 8, Score = -158.58618522215883, Avg_Score = -186.34573614932575
Episode = 9, Score = -99.328176287431, Avg_Score = -177.6439801631363
Episode = 10, Score = -514.9929302465289, Avg_Score = -204.14997388998796
Episode = 12, Score = -129.53659268953953, Avg_Score = -198.97519849237324
Episode = 13, Score = 9.629961624981647, Avg_Score = -189.89659375335876
Episode = 17, Score = -518.4789372863191, Avg_Score = -235.83157817988211
Episode = 18, Score = -281.03196633991604, Avg_Score = -227.2520794212869
Episode = 19, Score = 184.24730953834765, Avg_Score = -185.14207072003634
Episode = 20, Score = -205.5358279692142, Avg_Score = -187.65386467003674
Episode = 21, Score = 10.809437518916823, Avg_Score = -170.28039073588613
Episode = 22, Score = 150.4117285487288, Avg_Score = -139.38059935879738
Episode = 23, Score = 302.7911230964237, Avg_Score = -99.1686694204119
Episode = 24, Score = 168.52596832078183, Avg_Score = -30.816779563680853
Episode = 25, Score = 6.390236095386442, Avg_Score = -17.224096685188254
Episode = 26, Score = -73.64613616098646, Avg_Score = -25.551706463785067
Episode = 27, Score = 198.8125288652738, Avg_Score = 46.177440151374235
Episode = 28, Score = -49.18236839546653, Avg_Score = 69.36239994581919
Episode = 29, Score = -126.66001916860189, Avg_Score = 38.27166707512423
Episode = 30, Score = -41.86061607337247, Avg_Score = 54.63918826470839
Episode = 31, Score = 234.1348726322311, Avg_Score = 76.97173177603983
Episode = 32, Score = 251.4389618017301, Avg_Score = 87.07445510133996
Episode = 33, Score = 268.4721907053464, Avg_Score = 83.64256186223223
Episode = 34, Score = 206.80956475597355, Avg_Score = 87.4709215057514
Episode = 35, Score = -49.76109976088722, Avg_Score = 81.85578792012404
Episode = 36, Score = 23.434317201787437, Avg_Score = 91.56383325640142
Episode = 37, Score = -69.44554569044827, Avg_Score = 64.7380258008292
Episode = 38, Score = 170.5774454346448, Avg_Score = 86.71400718384037
Episode = 39, Score = -70.49087423908921, Avg_Score = 92.33092167679163
Episode = 40, Score = -74.333048332926, Avg_Score = 89.08367845083629
Episode = 41, Score = -276.0980181648649, Avg_Score = 38.06038937112667
Episode = 42, Score = -80.97350995741415, Avg_Score = 4.819142195212241
Episode = 43, Score = 82.43858550031048, Avg_Score = -13.784218325291352
Episode = 44, Score = 228.3458187116576, Avg_Score = -11.630592929722946
Episode = 45, Score = 164.96562219346964, Avg_Score = 9.842079265712744
Episode = 46, Score = -29.58764466541038, Avg_Score = 4.539883078992962
Episode = 47, Score = 218.61874094667928, Avg_Score = 33.34631174270571
