Episode = 91, Score = 121.22008789008768, Avg_Score = 140.81532310135952
Episode = 92, Score = 184.40170716681143, Avg_Score = 137.75201570966328
Episode = 93, Score = 152.81905423177875, Avg_Score = 124.1905590953696
Episode = 94, Score = 116.81812476001532, Avg_Score = 120.18928224894296
Episode = 95, Score = 90.88640980792577, Avg_Score = 103.94034306515735
Episode = 96, Score = 90.54832984376819, Avg_Score = 119.38622957004134
Episode = 97, Score = 244.3752777027722, Avg_Score = 126.0433803598548
Episode = 98, Score = 271.56580321273407, Avg_Score = 155.1348566568469
Episode = 99, Score = 134.5707893892317, Avg_Score = 152.88663061061007
Episode = 100, Score = 9.301574533888513, Avg_Score = 141.65071585390137
Episode = 101, Score = 206.3279376093409, Avg_Score = 150.16150082582666
Episode = 102, Score = 118.1460412252837, Avg_Score = 143.5359342316739
Episode = 103, Score = 102.56349317318526, Avg_Score = 138.51037812581455
Episode = 104, Score = 256.3646728448192, Avg_Score = 152.46503293429495
Episode = 105, Score = 270.54248718197374, Avg_Score = 170.43064067169976
Episode = 106, Score = 140.92875029236072, Avg_Score = 175.46868271655902
Episode = 107, Score = 176.1039184538409, Avg_Score = 168.6415467916659
Episode = 108, Score = -6.688147964294586, Avg_Score = 140.81615167396302
Episode = 109, Score = 77.22376380905052, Avg_Score = 135.08144911594488
Episode = 110, Score = 130.21255639950448, Avg_Score = 147.17254730250647
Episode = 111, Score = 147.8974869342352, Avg_Score = 141.3295022349959
Episode = 112, Score = 190.2681349174751, Avg_Score = 148.541711604215
Episode = 113, Score = 12.166797745207532, Avg_Score = 139.50204206141728
Episode = 114, Score = 147.0331615180505, Avg_Score = 128.56889092874042
Episode = 115, Score = 175.7981389526362, Avg_Score = 119.09445610580664
Episode = 116, Score = 172.2801640187975, Avg_Score = 122.22959747845032
Episode = 117, Score = 93.81020860884296, Avg_Score = 114.00022649395052
Episode = 118, Score = 181.24583223725185, Avg_Score = 132.79362451410515
Episode = 119, Score = 122.70322186311014, Avg_Score = 137.34157031951113
Episode = 120, Score = 212.0764016381869, Avg_Score = 145.5279548433794
Episode = 121, Score = 173.37029933860111, Avg_Score = 148.07523608381595
Episode = 122, Score = 111.43159916525346, Avg_Score = 140.1915825085938
Episode = 123, Score = -10.812521612740099, Avg_Score = 137.89365057279903
Episode = 124, Score = 132.96230836601728, Avg_Score = 136.48656525759571
Episode = 125, Score = 153.29232464942118, Avg_Score = 134.23598382727423
Episode = 126, Score = 187.46757579717024, Avg_Score = 135.75472500511148
Episode = 127, Score = 119.75275258774181, Avg_Score = 138.34897940300135
Episode = 128, Score = 68.93665814436153, Avg_Score = 127.11806199371233
Episode = 129, Score = 145.8771897324965, Avg_Score = 129.43545878065098
Episode = 130, Score = 121.74448466815954, Avg_Score = 120.40226708364825
Episode = 131, Score = 147.35366467502772, Avg_Score = 117.80060361729093
Episode = 132, Score = 254.2047419038736, Avg_Score = 132.07791789115294
Episode = 133, Score = 98.56761361430989, Avg_Score = 143.01593141385794
Episode = 134, Score = -16.91269867188764, Avg_Score = 128.02843071006743
Episode = 135, Score = 173.10002009216322, Avg_Score = 130.00920025434166
Episode = 136, Score = 147.73061723545754, Avg_Score = 126.03550439817036
Episode = 137, Score = 161.59423993269817, Avg_Score = 130.219653132666
Episode = 138, Score = 277.9204950664375, Avg_Score = 151.11803682487363
Episode = 139, Score = 250.07002130101276, Avg_Score = 161.53731998172526
Episode = 140, Score = 25.825527113661906, Avg_Score = 151.94542422627546
Episode = 141, Score = 210.6428535367636, Avg_Score = 158.27434311244906
Episode = 142, Score = 258.1654765758159, Avg_Score = 158.67041657964327
Episode = 143, Score = 119.30047639820494, Avg_Score = 160.7437028580328
Episode = 144, Score = 150.6567847790802, Avg_Score = 177.50065120312956
Episode = 145, Score = 163.69210993315554, Avg_Score = 176.55986018722882
Episode = 146, Score = 145.25197039804914, Avg_Score = 176.31199550348796
Episode = 147, Score = 16.20225527187938, Avg_Score = 161.7727970374061
Episode = 148, Score = 5.9472477612019645, Avg_Score = 134.57547230688255
Episode = 149, Score = 127.04831842462987, Avg_Score = 122.27330201924421
Episode = 150, Score = 39.582593555452405, Avg_Score = 123.64900866342327
Episode = 151, Score = 141.60035003928647, Avg_Score = 116.74475831367559
Episode = 152, Score = 160.29379920144476, Avg_Score = 106.95759057623847
Episode = 153, Score = 105.13482653467602, Avg_Score = 105.54102558988556
Episode = 154, Score = 174.36851688103462, Avg_Score = 107.912198800081
Episode = 155, Score = 137.11496322729016, Avg_Score = 105.25448412949447
Episode = 156, Score = 132.76367533427074, Avg_Score = 104.00565462311665
Episode = 157, Score = 145.76016383537774, Avg_Score = 116.96144547946646
Episode = 158, Score = 185.4165964033908, Avg_Score = 134.90838034368537
Episode = 159, Score = 130.17251215224672, Avg_Score = 135.22079971644706
Episode = 160, Score = 231.19389233743655, Avg_Score = 154.38192959464547
Episode = 161, Score = 58.517035558735984, Avg_Score = 146.0735981465904
Episode = 162, Score = 151.46314998589665, Avg_Score = 145.1905332250356
Episode = 163, Score = 130.11976249375996, Avg_Score = 147.68902682094398
Episode = 164, Score = 28.192764589106474, Avg_Score = 133.07145159175118
Episode = 165, Score = 283.2584589882224, Avg_Score = 147.6858011678444
Episode = 166, Score = 150.64429737902927, Avg_Score = 149.47386337232027
Episode = 167, Score = 152.71545873462554, Avg_Score = 150.16939286224505
Episode = 168, Score = 166.24417220236202, Avg_Score = 148.25215044214215
Episode = 169, Score = -23.094003849726462, Avg_Score = 132.92549884194483
Episode = 170, Score = 139.7218876969082, Avg_Score = 123.778298377892
Episode = 171, Score = 118.51124005818124, Avg_Score = 129.77771882783654
Episode = 172, Score = 135.8372758114755, Avg_Score = 128.21513141039443
Episode = 173, Score = 120.60113222997984, Avg_Score = 127.2632683840164
Episode = 174, Score = 127.01718651082625, Avg_Score = 137.14571057618838
Episode = 175, Score = 45.68802372117426, Avg_Score = 113.38866704948354
Episode = 176, Score = 97.41674052273443, Avg_Score = 108.0659113638541
Episode = 177, Score = 131.57855589734228, Avg_Score = 105.95222108012577
Episode = 178, Score = 132.7363569988092, Avg_Score = 102.60143955977048
Episode = 179, Score = 153.26449768806125, Avg_Score = 120.23728971354925
Episode = 180, Score = 198.745700460791, Avg_Score = 126.13967098993753
Episode = 181, Score = 225.57800164155103, Avg_Score = 136.84634714827453
Episode = 182, Score = -30.011131963707115, Avg_Score = 120.26150637075622
Episode = 183, Score = 122.62113201648633, Avg_Score = 120.46350634940688
Episode = 184, Score = 141.47050733448444, Avg_Score = 121.90883843177271
Episode = 185, Score = 283.26763252137755, Avg_Score = 145.66679931179306
Episode = 186, Score = 138.9279150212421, Avg_Score = 149.81791676164383
Episode = 187, Score = 276.9077358462343, Avg_Score = 164.350834756533
Episode = 188, Score = 115.20002842876644, Avg_Score = 162.59720189952876
Episode = 189, Score = 110.17190281349464, Avg_Score = 158.28794241207208
Episode = 190, Score = 57.00254152525997, Avg_Score = 144.11362651851897
Episode = 191, Score = 78.9054443632251, Avg_Score = 129.44637079068636
Episode = 192, Score = 178.8694009689774, Avg_Score = 150.33442408395481
Episode = 193, Score = 159.38245010744626, Avg_Score = 154.01055589305082
Episode = 194, Score = 188.92060278789015, Avg_Score = 158.7555654383914
Episode = 195, Score = 11.71329524575728, Avg_Score = 131.60013171082937
Episode = 196, Score = 114.46132247510545, Avg_Score = 129.1534724562157
Episode = 197, Score = 113.44249669330006, Avg_Score = 112.80694854092228
Episode = 198, Score = 99.82312952870704, Avg_Score = 111.26925865091634
Episode = 199, Score = 133.17141177424463, Avg_Score = 113.56920954699133
Episode = 200, Score = 185.1321711369939, Avg_Score = 126.38217250816474
Episode = 201, Score = 204.30284398988408, Avg_Score = 138.92191247083065
Episode = 202, Score = 274.7265207385798, Avg_Score = 148.50762444779087
Episode = 203, Score = -36.00235582721652, Avg_Score = 128.9691438543246
Episode = 204, Score = 166.0753675670261, Avg_Score = 126.68462033223818
Episode = 205, Score = 238.0419461465913, Avg_Score = 149.31748542232157
Episode = 206, Score = 26.171568936896605, Avg_Score = 140.4885100685007
Episode = 207, Score = 262.3795621014146, Avg_Score = 155.38221660931214
Episode = 208, Score = -10.036854603568074, Avg_Score = 144.39621819608462
Episode = 209, Score = -15.810233609247803, Avg_Score = 129.49805365773537
Episode = 210, Score = 168.89793746748168, Avg_Score = 127.87463029078415
Episode = 211, Score = 125.67542332588435, Avg_Score = 120.0118882243842
Episode = 212, Score = 19.317706684229833, Avg_Score = 94.4710068189492
Episode = 213, Score = 144.21728206401858, Avg_Score = 112.49297060807271
Episode = 214, Score = 143.9711681318809, Avg_Score = 110.2825506645582
Episode = 215, Score = 133.7227463542235, Avg_Score = 99.8506306853214
Episode = 216, Score = 281.099777183344, Avg_Score = 125.34345150996617
Episode = 217, Score = -42.817534016920646, Avg_Score = 94.82374189813264
Episode = 218, Score = 177.67495894360678, Avg_Score = 113.59492325285012
Episode = 219, Score = 157.0502421073277, Avg_Score = 130.88097082450764
Episode = 220, Score = 165.46183405252674, Avg_Score = 130.53736048301215
Episode = 221, Score = 145.5836444524438, Avg_Score = 132.5281825956681
Episode = 222, Score = -108.8476007240094, Avg_Score = 119.71165185484419
Episode = 223, Score = 193.4884669744756, Avg_Score = 124.63877034588988
Episode = 224, Score = 22.626398295759017, Avg_Score = 112.5042933622777
Episode = 225, Score = 123.07471033198763, Avg_Score = 111.43948976005413
Episode = 226, Score = 164.0651894237031, Avg_Score = 99.73603098409004
Episode = 227, Score = 128.7671830516268, Avg_Score = 116.89450269094478
Episode = 228, Score = 143.31942898918635, Avg_Score = 113.45894969550275
Episode = 229, Score = 140.81621952429487, Avg_Score = 111.83554743719947
Episode = 230, Score = 265.05322269525766, Avg_Score = 121.79468630147255
Episode = 231, Score = 126.99002109973958, Avg_Score = 119.9353239662021
Episode = 232, Score = 261.47348714446395, Avg_Score = 156.96743275304945
Episode = 233, Score = 191.61207999133612, Avg_Score = 156.77979405473548
Episode = 234, Score = 246.92987912693079, Avg_Score = 179.21014213785267
Episode = 235, Score = 150.76352928100548, Avg_Score = 181.97902403275447
Episode = 236, Score = 144.13253439182742, Avg_Score = 179.9857585295669
Episode = 237, Score = 143.70519180273286, Avg_Score = 181.4795594046775
Episode = 238, Score = 105.40785682687091, Avg_Score = 177.688402188446
Episode = 239, Score = 272.7213425324661, Avg_Score = 190.8789144892631
Episode = 240, Score = 133.3549129472347, Avg_Score = 177.70908351446081
Episode = 241, Score = 155.49012683898945, Avg_Score = 180.55909408838576
Episode = 242, Score = -29.009326497956962, Avg_Score = 151.5108127241437
Episode = 243, Score = 184.8995962190442, Avg_Score = 150.8395643469145
Episode = 244, Score = 142.33006640813446, Avg_Score = 140.37958307503487
Episode = 245, Score = 130.84016574692544, Avg_Score = 138.38724672162684
Episode = 246, Score = 251.475074797955, Avg_Score = 149.12150076223958
Episode = 247, Score = 119.11533720401422, Avg_Score = 146.66251530236772
Episode = 248, Score = 211.46964643753626, Avg_Score = 157.26869426343427
Episode = 249, Score = 129.761748705299, Avg_Score = 142.97273488071758
Episode = 250, Score = 188.11625908350703, Avg_Score = 148.44886949434482
Episode = 251, Score = 136.86103702124186, Avg_Score = 146.58596051257004
Episode = 252, Score = 278.16222431480185, Avg_Score = 177.30311559384592
Episode = 253, Score = 158.7723906506111, Avg_Score = 174.69039503700265
Episode = 254, Score = 168.97790649184589, Avg_Score = 177.35517904537375
Episode = 255, Score = 169.9930331199498, Avg_Score = 181.2704657826762
Episode = 256, Score = 199.64365698397822, Avg_Score = 176.08732400127855
Episode = 257, Score = 136.92346883294147, Avg_Score = 177.86813716417123
Episode = 258, Score = 280.41745172652224, Avg_Score = 184.76291769306985
Episode = 259, Score = 129.87949771883166, Avg_Score = 184.77469259442313
Episode = 260, Score = 103.74233177712007, Avg_Score = 176.3372998637844
Episode = 261, Score = 172.7598144203376, Avg_Score = 179.927177603694
Episode = 262, Score = 114.88226504639744, Avg_Score = 163.59918167685353
Episode = 263, Score = 162.35280692727738, Avg_Score = 163.95722330452017
Episode = 264, Score = 148.65783295857483, Avg_Score = 161.92521595119308
Episode = 265, Score = 181.77173165968358, Avg_Score = 163.10308580516647
Episode = 266, Score = 184.88239031908128, Avg_Score = 161.62695913867677
Episode = 267, Score = -13.543376037226338, Avg_Score = 146.58027465165998
Episode = 268, Score = 168.37086895107967, Avg_Score = 135.37561637411574
Episode = 269, Score = 111.78441126564981, Avg_Score = 133.56610772879756
