Episode = 0, Score = 274.68949148844985, Avg_Score = 274.68949148844985
Episode = 1, Score = 239.07793632571088, Avg_Score = 256.8837139070804
Episode = 2, Score = 250.94714815266488, Avg_Score = 254.90485865560856
Episode = 3, Score = 243.08309746369358, Avg_Score = 251.9494183576298
Episode = 4, Score = 157.46541413836445, Avg_Score = 233.05261751377674
Episode = 5, Score = 208.7435147690803, Avg_Score = 229.00110038966068
Episode = 6, Score = 223.46696464607896, Avg_Score = 228.210509569149
Episode = 7, Score = 234.01168123752072, Avg_Score = 228.93565602769547
Episode = 8, Score = 207.8665746790819, Avg_Score = 226.59464698896062
Episode = 9, Score = 252.1849968785394, Avg_Score = 229.1536819779185
Episode = 10, Score = 262.8134983502696, Avg_Score = 227.9660826641005
Episode = 11, Score = 314.52561708484507, Avg_Score = 235.5108507400139
Episode = 12, Score = 280.4004431749232, Avg_Score = 238.45618024223972
Episode = 13, Score = 224.8120011623705, Avg_Score = 236.6290706121074
Episode = 14, Score = 25.37232332521343, Avg_Score = 223.41976153079236
Episode = 15, Score = 277.95348770171483, Avg_Score = 230.34075882405577
Episode = 16, Score = 241.69263732300183, Avg_Score = 232.16332609174805
Episode = 17, Score = 295.8836578168568, Avg_Score = 238.35052374968163
Episode = 18, Score = 260.74820254708885, Avg_Score = 243.63868653648237
Episode = 19, Score = 267.31982038800163, Avg_Score = 245.15216888742856
Episode = 20, Score = 271.8674325965963, Avg_Score = 246.05756231206124
Episode = 21, Score = 245.13096275341945, Avg_Score = 239.11809687891872
Episode = 22, Score = 206.52380527890693, Avg_Score = 231.73043308931705
Episode = 23, Score = 249.0068776407392, Avg_Score = 234.14992073715393
Episode = 24, Score = 256.6311986343504, Avg_Score = 257.27580826806764
Episode = 25, Score = 286.1809549747969, Avg_Score = 258.0985549953758
Episode = 26, Score = 280.2603370089037, Avg_Score = 261.955324963966
Episode = 27, Score = 248.2161084570986, Avg_Score = 257.1885700279902
Episode = 28, Score = 265.371800407058, Avg_Score = 257.6509298139871
Episode = 29, Score = 260.70094292571497, Avg_Score = 256.9890420677585
Episode = 30, Score = 116.01332303695797, Avg_Score = 241.40363111179462
Episode = 31, Score = 261.066043824879, Avg_Score = 242.99713921894053
Episode = 32, Score = 246.13418066720536, Avg_Score = 246.95817675777045
Episode = 33, Score = 224.1529190953031, Avg_Score = 244.4727809032268
Episode = 34, Score = 253.51363655127344, Avg_Score = 244.16102469491912
Episode = 35, Score = 290.9630124600527, Avg_Score = 244.63923044344466
Episode = 36, Score = 243.9876840014718, Avg_Score = 241.01196514270146
Episode = 37, Score = 260.07214029653585, Avg_Score = 242.1975683266452
Episode = 38, Score = 239.7598651432783, Avg_Score = 239.63637480026722
Episode = 39, Score = 238.66585887534578, Avg_Score = 237.4328663952303
Episode = 40, Score = 16.83660584646067, Avg_Score = 227.51519467618058
Episode = 41, Score = 273.07181200207845, Avg_Score = 228.71577149390055
Episode = 42, Score = 264.66827748495064, Avg_Score = 230.56918117567506
Episode = 43, Score = 292.9969745312469, Avg_Score = 237.45358671926948
Episode = 44, Score = 285.05124539958746, Avg_Score = 240.60734760410088
Episode = 45, Score = 258.4350577529344, Avg_Score = 237.354552133389
Episode = 46, Score = 213.90117074500426, Avg_Score = 234.34590080774234
Episode = 47, Score = 282.2025327518439, Avg_Score = 236.5589400532731
Episode = 48, Score = 256.61593960843936, Avg_Score = 238.24454749978923
Episode = 49, Score = 214.45353145721856, Avg_Score = 235.82331475797645
Episode = 50, Score = 296.10632650914334, Avg_Score = 263.7502868242447
Episode = 51, Score = 273.30949404230637, Avg_Score = 263.7740550282675
Episode = 52, Score = 5.840038382642291, Avg_Score = 237.8912311180367
Episode = 53, Score = -16.587806313986817, Avg_Score = 206.93275303351334
Episode = 54, Score = 236.61271234420647, Avg_Score = 202.08889972797522
Episode = 55, Score = 279.3979852978009, Avg_Score = 204.1851924824619
Episode = 56, Score = 257.8785231671174, Avg_Score = 208.58292772467317
Episode = 57, Score = 272.5682176788958, Avg_Score = 207.61949621737836
Episode = 58, Score = 275.4041009513942, Avg_Score = 209.49831235167386
Episode = 59, Score = 309.12717939805896, Avg_Score = 218.9656771457579
Episode = 60, Score = 245.13832972597754, Avg_Score = 213.86887746744134
Episode = 61, Score = 265.75013178825895, Avg_Score = 213.11294124203656
Episode = 62, Score = 9.347418070076813, Avg_Score = 213.46367921078004
Episode = 63, Score = 275.0591428089478, Avg_Score = 242.62837412307348
Episode = 64, Score = 39.239163322883826, Avg_Score = 222.89101922094125
Episode = 65, Score = 249.19137254940952, Avg_Score = 219.87035794610205
Episode = 66, Score = 260.32373978234364, Avg_Score = 220.1148796076247
Episode = 67, Score = 269.3297422821105, Avg_Score = 219.79103206794616
Episode = 68, Score = 288.5531641042094, Avg_Score = 221.1059383832277
Episode = 69, Score = 251.51120179417595, Avg_Score = 215.3443406228394
Episode = 70, Score = 290.7655351323483, Avg_Score = 219.90706116347647
Episode = 71, Score = 196.6678585647561, Avg_Score = 212.99883384112619
Episode = 72, Score = 188.91467319405405, Avg_Score = 230.9555593535239
Episode = 73, Score = 18.402231146740576, Avg_Score = 205.28986818730317
Episode = 74, Score = 277.6407855345469, Avg_Score = 229.1300304084695
Episode = 75, Score = 279.034901705732, Avg_Score = 232.11438332410177
Episode = 76, Score = 291.26993634338567, Avg_Score = 235.20900298020598
Episode = 77, Score = -22.551766311550807, Avg_Score = 206.02085212083983
Episode = 78, Score = 300.0513968411648, Avg_Score = 207.17067539453538
Episode = 79, Score = 217.70463257864657, Avg_Score = 203.79001847298244
Episode = 80, Score = 3.839271863381555, Avg_Score = 175.09739214608575
Episode = 81, Score = 187.38176373456653, Avg_Score = 174.1687826630668
Episode = 82, Score = -13.909244636241525, Avg_Score = 153.88639088003725
Episode = 83, Score = 263.5600433685886, Avg_Score = 178.40217210222204
Episode = 84, Score = 226.29235001940037, Avg_Score = 173.2673285507074
Episode = 85, Score = 277.64659618639075, Avg_Score = 173.12849799877327
Episode = 86, Score = 123.51836645362094, Avg_Score = 156.35334100979676
Episode = 87, Score = 132.24808507982158, Avg_Score = 171.833326148934
Episode = 88, Score = 253.20914020273563, Avg_Score = 167.14910048509108
Episode = 89, Score = 258.9865644018538, Avg_Score = 171.2772936674118
Episode = 90, Score = 273.5361403870605, Avg_Score = 198.2469805197797
Episode = 91, Score = 227.513316694708, Avg_Score = 202.26013581579386
Episode = 92, Score = 270.1754288701759, Avg_Score = 230.66860316643562
Episode = 93, Score = 230.8475128960275, Avg_Score = 227.39735011917952
Episode = 94, Score = 238.30642421245972, Avg_Score = 228.59875753848542
Episode = 95, Score = 276.85207491766914, Avg_Score = 228.5193054116133
Episode = 96, Score = 284.78585185916336, Avg_Score = 244.6460539521675
Episode = 97, Score = -7.784288925109095, Avg_Score = 230.64281655167443
Episode = 98, Score = 268.1838199293893, Avg_Score = 232.14028452433982
Episode = 99, Score = 116.71056861332877, Avg_Score = 217.9126849454873
Episode = 100, Score = 287.9194898408365, Avg_Score = 219.35101989086493
Episode = 101, Score = 279.75395214383525, Avg_Score = 224.5750834357776
Episode = 102, Score = 270.4157913824932, Avg_Score = 224.5991196870094
Episode = 103, Score = 258.77820264524803, Avg_Score = 227.3921886619314
Episode = 104, Score = 249.729138785156, Avg_Score = 228.53446011920104
Episode = 105, Score = 282.0503966073534, Avg_Score = 229.05429228816948
Episode = 106, Score = 103.25676292424926, Avg_Score = 210.90138339467808
Episode = 107, Score = 282.2161930165714, Avg_Score = 239.90143158884612
Episode = 108, Score = 290.6007544049186, Avg_Score = 242.143125036399
Episode = 109, Score = 190.8010398978803, Avg_Score = 249.55217216485417
Episode = 110, Score = 231.1731183167077, Avg_Score = 243.87753501244129
Episode = 111, Score = 224.25794238401858, Avg_Score = 238.3279340364596
Episode = 112, Score = 100.4873551732949, Avg_Score = 221.3350904155398
Episode = 113, Score = 276.63667094800405, Avg_Score = 223.1209372458154
Episode = 114, Score = 245.65084385862443, Avg_Score = 222.71310775316223
Episode = 115, Score = 224.67752380524854, Avg_Score = 216.97582047295177
Episode = 116, Score = 143.6793913187824, Avg_Score = 221.01808331240514
Episode = 117, Score = 264.39396720275204, Avg_Score = 219.23586073102314
Episode = 118, Score = 240.32208773936415, Avg_Score = 214.20799406446767
Episode = 119, Score = 263.4554480954348, Avg_Score = 221.47343488422317
Episode = 120, Score = -2.276320429814078, Avg_Score = 198.12849100957098
Episode = 121, Score = 277.88013078779124, Avg_Score = 203.49070984994825
Episode = 122, Score = 266.45745463249847, Avg_Score = 220.0877197958686
Episode = 123, Score = 189.86627275432895, Avg_Score = 211.41067997650106
Episode = 124, Score = 266.37091142969643, Avg_Score = 213.48268673360832
Episode = 125, Score = 314.0687512283962, Avg_Score = 222.42180947592306
Episode = 126, Score = 200.49874426205974, Avg_Score = 228.10374477025078
Episode = 127, Score = 142.56240103788568, Avg_Score = 215.9205881537642
Episode = 128, Score = 284.8793462891533, Avg_Score = 220.37631400874307
Episode = 129, Score = 273.9474966891113, Avg_Score = 221.42551886811074
Episode = 130, Score = 6.906841175777799, Avg_Score = 222.34383502866996
Episode = 131, Score = -32.9480349925998, Avg_Score = 191.26101845063081
Episode = 132, Score = 285.37419169632636, Avg_Score = 193.1526921570136
Episode = 133, Score = 265.60063592570475, Avg_Score = 200.72612847415115
Episode = 134, Score = 26.20129487736402, Avg_Score = 176.70916681891794
Episode = 135, Score = 293.25551306849934, Avg_Score = 174.62784300292827
Episode = 136, Score = 218.75534961712475, Avg_Score = 176.45350353843475
Episode = 137, Score = 255.3443930316905, Avg_Score = 187.73170273781525
