Episode = 0, Score = 277.93458780182175, Avg_Score = 277.93458780182175
Episode = 1, Score = 258.8668101808622, Avg_Score = 268.400698991342
Episode = 2, Score = 295.6407909543976, Avg_Score = 277.4807296456938
Episode = 3, Score = 260.32748062989083, Avg_Score = 273.1924173917431
Episode = 4, Score = 260.9280555865396, Avg_Score = 270.7395450307024
Episode = 5, Score = 270.57927694628484, Avg_Score = 270.7128336832995
Episode = 6, Score = 130.3564869753962, Avg_Score = 250.66192701074186
Episode = 7, Score = 242.43697558435395, Avg_Score = 249.63380808244338
Episode = 8, Score = 257.714253888117, Avg_Score = 250.5316353941849
Episode = 9, Score = 220.6909782585818, Avg_Score = 247.54756968062458
Episode = 10, Score = 256.455479298989, Avg_Score = 245.39965883034128
Episode = 11, Score = 256.01527364597, Avg_Score = 245.11450517685208
Episode = 12, Score = 86.83215024527699, Avg_Score = 224.23364110594002
Episode = 13, Score = -64.11720962044237, Avg_Score = 191.78917208090672
Episode = 14, Score = 244.80678464270258, Avg_Score = 190.177044986523
Episode = 15, Score = 272.9452269895593, Avg_Score = 190.4136399908504
Episode = 16, Score = 294.45955028407104, Avg_Score = 206.82394632171795
Episode = 17, Score = 268.6425418563564, Avg_Score = 209.44450294891817
Episode = 18, Score = 203.21628353601687, Avg_Score = 203.99470591370815
Episode = 19, Score = 270.70711880873137, Avg_Score = 208.99631996872313
Episode = 20, Score = 231.85699011504326, Avg_Score = 206.53647105032854
Episode = 21, Score = 240.31302711758815, Avg_Score = 204.96624639749035
Episode = 22, Score = 286.4578522332789, Avg_Score = 224.92881659629057
Episode = 23, Score = 214.92328249115212, Avg_Score = 252.83286580745
Episode = 24, Score = 273.76330339920605, Avg_Score = 255.7285176831004
Episode = 25, Score = 230.64302138508822, Avg_Score = 251.49829712265324
Episode = 26, Score = 118.6055979940532, Avg_Score = 233.91290189365145
Episode = 27, Score = 268.7289360942524, Avg_Score = 233.92154131744104
Episode = 28, Score = 232.1554521986612, Avg_Score = 236.81545818370552
Episode = 29, Score = 147.48669152980727, Avg_Score = 224.49341545581305
Episode = 30, Score = 285.1993145557758, Avg_Score = 229.82764789988633
Episode = 31, Score = 249.15105856797356, Avg_Score = 230.7114510449249
Episode = 32, Score = 237.25556892630468, Avg_Score = 225.79122271422744
