Episode = 91, Score = 233.37233151391743, Avg_Score = 259.10687688339254
Episode = 92, Score = 239.2888513446054, Avg_Score = 252.84089383957152
Episode = 93, Score = -41.2512687550551, Avg_Score = 223.00259727112726
Episode = 94, Score = -32.134484871474655, Avg_Score = 198.7423470085512
Episode = 95, Score = 209.72919234070258, Avg_Score = 193.7707758799193
Episode = 96, Score = 9.34433324898636, Avg_Score = 165.9509148560222
Episode = 97, Score = 272.47789043721997, Avg_Score = 167.86178491949823
Episode = 98, Score = 279.6300851401155, Avg_Score = 170.771222826925
Episode = 99, Score = 277.4082838616915, Avg_Score = 174.50008437527262
Episode = 100, Score = 260.2456468908865, Avg_Score = 170.81108611515953
Episode = 101, Score = 91.66835704430919, Avg_Score = 156.64068866819872
Episode = 102, Score = 292.8540875204993, Avg_Score = 161.9972122857881
Episode = 103, Score = 238.57596335674944, Avg_Score = 189.97993549696858
Episode = 104, Score = 236.04254372807793, Avg_Score = 216.79763835692384
Episode = 105, Score = -23.129504847341565, Avg_Score = 193.51176863811943
Episode = 106, Score = 228.97385230971904, Avg_Score = 215.47472054419268
Episode = 107, Score = 286.9308943756399, Avg_Score = 216.92002093803467
Episode = 108, Score = 294.13330418659274, Avg_Score = 218.3703428426824
Episode = 109, Score = 279.80053313401004, Avg_Score = 218.60956776991424
Episode = 110, Score = 246.05091837164545, Avg_Score = 217.19009491799017
Episode = 111, Score = -8.28706830022719, Avg_Score = 207.19455238353652
Episode = 112, Score = 245.72557350365932, Avg_Score = 202.4817009818525
Episode = 113, Score = 269.72423681680334, Avg_Score = 205.59652832785787
Episode = 114, Score = 260.2650946459154, Avg_Score = 208.01878341964166
Episode = 115, Score = 245.14534968860534, Avg_Score = 234.84626887323634
Episode = 116, Score = 240.9936826814049, Avg_Score = 236.04825191040496
Episode = 117, Score = 282.2165134506148, Avg_Score = 235.57681381790243
Episode = 118, Score = -12.840607556524162, Avg_Score = 204.87942264359077
Episode = 119, Score = 254.94490363990886, Avg_Score = 202.3938596941806
Episode = 120, Score = 300.37957068378256, Avg_Score = 207.82672492539433
Episode = 121, Score = 298.1109305244693, Avg_Score = 238.466524807864
Episode = 122, Score = 262.974857962698, Avg_Score = 240.19145325376786
Episode = 123, Score = 270.4723619266188, Avg_Score = 240.26626576474936
Episode = 124, Score = 118.74397457779526, Avg_Score = 226.11415375793734
Episode = 125, Score = 301.39969388055135, Avg_Score = 231.73958817713196
Episode = 126, Score = 261.32979770873715, Avg_Score = 233.77319967986523
Episode = 127, Score = 260.7488804380132, Avg_Score = 231.62643637860506
Episode = 128, Score = -52.441718789999754, Avg_Score = 227.66632525525748
Episode = 129, Score = 302.3172823601151, Avg_Score = 232.4035631272781
Episode = 130, Score = 281.06843635839914, Avg_Score = 230.47244969473977
Episode = 131, Score = 301.87672929692746, Avg_Score = 230.84902957198557
Episode = 132, Score = 279.45167910228867, Avg_Score = 232.49671168594463
Episode = 133, Score = -8.213988569858486, Avg_Score = 204.62807663629692
Episode = 134, Score = 260.5069481147251, Avg_Score = 218.80437398998993
Episode = 135, Score = 285.10494866529893, Avg_Score = 217.17489946846462
Episode = 136, Score = 261.4957024178216, Avg_Score = 217.19148993937307
Episode = 137, Score = 262.6330592913145, Avg_Score = 217.37990782470325
Episode = 138, Score = 250.45744102346038, Avg_Score = 247.66982380604924
Episode = 139, Score = 269.9035706371302, Avg_Score = 244.42845263375074
Episode = 140, Score = 289.4050998974035, Avg_Score = 245.26211898765118
Episode = 141, Score = -30.229453148245085, Avg_Score = 212.05150074313391
Episode = 142, Score = 282.2026005001385, Avg_Score = 212.32659288291887
Episode = 143, Score = 258.73821169258446, Avg_Score = 239.02181290916323
Episode = 144, Score = 16.379654157600854, Avg_Score = 214.6090835134508
Episode = 145, Score = 7.205945997026774, Avg_Score = 186.81918324662357
Episode = 146, Score = -24.354439314493888, Avg_Score = 158.234169073392
Episode = 147, Score = 309.3897608063973, Avg_Score = 162.90983922490028
Episode = 148, Score = 23.067524101719755, Avg_Score = 140.17084753272624
Episode = 149, Score = 283.21564570016324, Avg_Score = 141.50205503902953
Episode = 150, Score = 232.9454694360648, Avg_Score = 135.85609199289564
Episode = 151, Score = 28.378503640149745, Avg_Score = 141.71688767173515
Episode = 152, Score = 238.6916246048261, Avg_Score = 137.36579008220392
Episode = 153, Score = 279.93903734586485, Avg_Score = 139.48587264753195
Episode = 154, Score = 275.1441344767831, Avg_Score = 165.3623206794502
Episode = 155, Score = 243.31645960029388, Avg_Score = 188.9733720397769
Episode = 156, Score = 256.9692795370259, Avg_Score = 217.1057439249289
Episode = 157, Score = -33.79295250417711, Avg_Score = 182.78747259387143
Episode = 158, Score = 3.9487980714546467, Avg_Score = 180.87559999084493
Episode = 159, Score = 249.92289792801859, Avg_Score = 177.54632521363044
Episode = 160, Score = 278.1080626070694, Avg_Score = 182.06258453073093
Episode = 161, Score = 286.78352677134285, Avg_Score = 207.9030868438502
Episode = 162, Score = 261.5972314066963, Avg_Score = 210.19364752403726
Episode = 163, Score = 289.5377825888263, Avg_Score = 211.1535220483334
Episode = 164, Score = 283.1494572417903, Avg_Score = 211.95405432483412
Episode = 165, Score = 226.48700186182862, Avg_Score = 210.27110855098758
Episode = 166, Score = 246.2595552075504, Avg_Score = 209.20013611804
Episode = 167, Score = 244.38563887018668, Avg_Score = 237.0179952554764
Episode = 168, Score = 229.1625774625505, Avg_Score = 259.539373194586
Episode = 169, Score = 263.73100295782797, Avg_Score = 260.9201836975669
Episode = 170, Score = 284.6684042426546, Avg_Score = 261.57621786112543
Episode = 171, Score = 239.29071650387718, Avg_Score = 256.8269368343789
Episode = 172, Score = 251.81930325721748, Avg_Score = 255.84914401943107
Episode = 173, Score = 273.55970112636555, Avg_Score = 254.25133587318496
Episode = 174, Score = 262.7737216195275, Avg_Score = 252.21376231095866
Episode = 175, Score = 250.9222588125604, Avg_Score = 254.65728800603182
Episode = 176, Score = 264.18938212392334, Avg_Score = 256.4502706976691
Episode = 177, Score = 257.7567546038075, Avg_Score = 257.7873822710312
Episode = 178, Score = 260.9941531637196, Avg_Score = 260.97053984114814
Episode = 179, Score = 205.22829033734973, Avg_Score = 255.12026857910033
Episode = 180, Score = 261.0572394445102, Avg_Score = 252.75915209928584
Episode = 181, Score = 314.19130517059705, Avg_Score = 260.24921096595784
Episode = 182, Score = -16.58375918882483, Avg_Score = 233.40890472135362
Episode = 183, Score = 33.4553561678309, Avg_Score = 209.39847022550015
Episode = 184, Score = 264.06310984728725, Avg_Score = 209.5274090482761
Episode = 185, Score = -4.867844632428756, Avg_Score = 183.94839870377717
Episode = 186, Score = 203.91227348476278, Avg_Score = 177.92068783986116
Episode = 187, Score = 274.41663544924467, Avg_Score = 179.5866759244049
Episode = 188, Score = 277.4608548796464, Avg_Score = 181.23334609599755
Episode = 189, Score = 243.6606121638558, Avg_Score = 185.07657827864816
Episode = 190, Score = 295.3024620081219, Avg_Score = 188.50110053500933
Episode = 191, Score = -18.927107202703183, Avg_Score = 155.18925929767929
Episode = 192, Score = 222.14103114866043, Avg_Score = 179.06173833142782
Episode = 193, Score = 276.6772847444841, Avg_Score = 203.38393118909315
Episode = 194, Score = 242.6036779561356, Avg_Score = 201.23798799997797
Episode = 195, Score = 3.2339929453605833, Avg_Score = 202.0481717577569
Episode = 196, Score = 216.56734797734336, Avg_Score = 203.31367920701499
Episode = 197, Score = 267.1874889468244, Avg_Score = 202.59076455677297
Episode = 198, Score = 261.7610504673256, Avg_Score = 201.0207841155409
Episode = 199, Score = 269.9053501568536, Avg_Score = 203.64525791484067
Episode = 200, Score = 301.5250580089199, Avg_Score = 204.26751751492048
Episode = 201, Score = 271.5274673181939, Avg_Score = 233.31297496701018
Episode = 202, Score = 316.5988048560334, Avg_Score = 242.75875233774747
Episode = 203, Score = 218.78878869395567, Avg_Score = 236.96990273269458
Episode = 204, Score = 267.9126019352283, Avg_Score = 239.50079513060388
Episode = 205, Score = 257.77396779708454, Avg_Score = 264.9547926157763
Episode = 206, Score = 215.80755133914477, Avg_Score = 264.8788129519564
Episode = 207, Score = 4.501479909749861, Avg_Score = 238.6102120482489
Episode = 208, Score = 239.95025269873932, Avg_Score = 236.42913227139033
Episode = 209, Score = 307.570548549304, Avg_Score = 240.19565211063536
Episode = 210, Score = -35.5884224386824, Avg_Score = 206.48430406587516
Episode = 211, Score = 279.62618708470643, Avg_Score = 207.2941760425264
Episode = 212, Score = 317.88388268810786, Avg_Score = 207.42268382573383
Episode = 213, Score = 204.98876582386873, Avg_Score = 206.04268153872513
Episode = 214, Score = 229.28050186383467, Avg_Score = 202.17947153158576
Episode = 215, Score = 266.92416000542073, Avg_Score = 203.09449075241938
Episode = 216, Score = 230.96929941111202, Avg_Score = 204.6106655596161
Episode = 217, Score = 209.00964721127025, Avg_Score = 225.06148228976818
Episode = 218, Score = 243.40040633073102, Avg_Score = 225.40649765296735
Episode = 219, Score = 248.78990734854224, Avg_Score = 219.52843353289117
Episode = 220, Score = 302.54460851013584, Avg_Score = 253.34173662777297
Episode = 221, Score = 275.98404094004894, Avg_Score = 252.97752201330724
Episode = 222, Score = 56.93497721670059, Avg_Score = 226.88263146616652
Episode = 223, Score = 83.7476084605041, Avg_Score = 214.75851572983
Episode = 224, Score = 271.4164646488447, Avg_Score = 218.97211200833104
Episode = 225, Score = 264.172087368604, Avg_Score = 218.69690474464937
Episode = 226, Score = 221.81182334719514, Avg_Score = 217.7811571382577
Episode = 227, Score = 254.59951216897906, Avg_Score = 222.34014363402852
Episode = 228, Score = 236.87428537292035, Avg_Score = 221.6875315382475
Episode = 229, Score = -31.94211944128621, Avg_Score = 193.61432885926465
Episode = 230, Score = 229.05509762022731, Avg_Score = 186.2653777702738
Episode = 231, Score = -15.259249958647189, Avg_Score = 157.1410486804042
Episode = 232, Score = 224.6084162543797, Avg_Score = 173.9083925841721
Episode = 233, Score = 214.50923342258253, Avg_Score = 186.98455508037995
Episode = 234, Score = 264.46990868932374, Avg_Score = 186.28989948442785
Episode = 235, Score = 273.7367817147834, Avg_Score = 187.24636891904578
Episode = 236, Score = 232.99994636546086, Avg_Score = 188.36518122087233
