Episode = 0, Score = 310.9294017949712, Avg_Score = 310.9294017949712
Episode = 1, Score = 295.94882536400036, Avg_Score = 303.4391135794858
Episode = 2, Score = 236.06050317604326, Avg_Score = 280.9795767783383
Episode = 3, Score = 3.5168324958404753, Avg_Score = 211.61389070771386
Episode = 4, Score = 244.5064551914362, Avg_Score = 218.19240360445832
Episode = 5, Score = 251.52528046941583, Avg_Score = 223.74788308195124
Episode = 6, Score = 226.38032911324228, Avg_Score = 224.12394680070707
Episode = 7, Score = 272.5267827406611, Avg_Score = 230.17430129320135
Episode = 8, Score = -24.371947485913893, Avg_Score = 201.89138476218855
Episode = 9, Score = 291.4690332095538, Avg_Score = 210.8491496069251
Episode = 10, Score = 237.32202315077745, Avg_Score = 203.4884117425057
Episode = 11, Score = 224.31245546258012, Avg_Score = 196.32477475236365
Episode = 12, Score = 223.36043725992758, Avg_Score = 195.05476816075208
Episode = 13, Score = -22.107424911632734, Avg_Score = 192.49234242000477
Episode = 14, Score = 287.20940980009516, Avg_Score = 196.76263788087067
Episode = 15, Score = 233.0032600680471, Avg_Score = 194.91043584073378
Episode = 16, Score = 275.52399946790416, Avg_Score = 199.82480287619995
Episode = 17, Score = 220.15844170826614, Avg_Score = 194.58796877296047
Episode = 18, Score = 304.7848059458644, Avg_Score = 227.50364411613833
Episode = 19, Score = 226.33631396695753, Avg_Score = 220.99037219187872
Episode = 20, Score = 218.63423560137025, Avg_Score = 219.12159343693799
Episode = 21, Score = -42.64336757239175, Avg_Score = 192.4260111334408
Episode = 22, Score = 251.19164898606735, Avg_Score = 195.20913230605476
Episode = 23, Score = 229.78056798795365, Avg_Score = 220.3979315960134
Episode = 24, Score = 240.32642444090501, Avg_Score = 215.7096330600944
Episode = 25, Score = 5.313826759728485, Avg_Score = 192.94068972926252
Episode = 26, Score = 20.835099534740166, Avg_Score = 167.47179973594615
Episode = 27, Score = 275.1292575665494, Avg_Score = 172.96888132177446
Episode = 28, Score = 257.3272651318224, Avg_Score = 168.22312724037025
Episode = 29, Score = 263.11392775515196, Avg_Score = 171.90088861918971
Episode = 30, Score = -10.13544841978107, Avg_Score = 149.02392021707456
Episode = 31, Score = -21.391212423362447, Avg_Score = 151.14913573197748
Episode = 32, Score = 14.523326895201905, Avg_Score = 127.48230352289094
Episode = 33, Score = 258.92969988368384, Avg_Score = 130.39721671246397
Episode = 34, Score = 279.1396776611109, Avg_Score = 134.27854203448456
Episode = 35, Score = 267.05515343936787, Avg_Score = 160.4526747024485
Episode = 36, Score = 225.91835103218455, Avg_Score = 180.9609998521929
Episode = 37, Score = 262.89734476859877, Avg_Score = 179.73780857239785
Episode = 38, Score = 312.46444540687753, Avg_Score = 185.25152659990337
Episode = 39, Score = 278.13576917502746, Avg_Score = 186.7537107418909
Episode = 40, Score = -14.78216444357271, Avg_Score = 186.28903913951177
Episode = 41, Score = 228.48985401143543, Avg_Score = 211.2771457829915
Episode = 42, Score = 67.30002068383897, Avg_Score = 216.5548151618553
Episode = 43, Score = 238.82378967267556, Avg_Score = 214.54422414075444
Episode = 44, Score = 8.340151628211075, Avg_Score = 187.46427153746444
Episode = 45, Score = 235.33687237303982, Avg_Score = 184.2924434308316
Episode = 46, Score = -31.16971234857401, Avg_Score = 158.58363709275577
Episode = 47, Score = -37.0442698149667, Avg_Score = 128.58947563439924
Episode = 48, Score = 77.24678216571819, Avg_Score = 105.06770931028332
Episode = 49, Score = 232.25360815047046, Avg_Score = 100.4794932078276
Episode = 50, Score = 306.8106347200462, Avg_Score = 132.6387731241895
Episode = 51, Score = 284.4231148243243, Avg_Score = 138.2320992054784
