Episode = 91, Score = 273.18656310948666, Avg_Score = 128.66630004074324
Episode = 92, Score = -17.82236716959183, Avg_Score = 100.69326034150095
Episode = 93, Score = 220.84080809102778, Avg_Score = 118.81802576519792
Episode = 94, Score = -25.142289061181472, Avg_Score = 112.7784532771459
Episode = 95, Score = 124.56940342063335, Avg_Score = 127.95687991981177
Episode = 96, Score = 251.031398402501, Avg_Score = 122.63172096786575
Episode = 97, Score = -214.72784900820278, Avg_Score = 102.79492172352782
Episode = 98, Score = 134.19062477068553, Avg_Score = 105.32896687604484
Episode = 99, Score = 11.371743055620612, Avg_Score = 77.98359696847044
Episode = 100, Score = 50.15283829824787, Avg_Score = 80.76508739092267
Episode = 101, Score = 49.80952187436088, Avg_Score = 58.42738326741009
Episode = 102, Score = 280.15016853500646, Avg_Score = 88.22463683786991
Episode = 103, Score = -3.238558309342764, Avg_Score = 65.81670019783287
Episode = 104, Score = 277.17122113335, Avg_Score = 96.048051217286
Episode = 105, Score = 278.0051402355043, Avg_Score = 111.39162489877313
Episode = 106, Score = -10.517185650350655, Avg_Score = 85.23676649348795
Episode = 107, Score = 1.5466823283274493, Avg_Score = 106.86421962714095
Episode = 108, Score = 120.00422251168987, Avg_Score = 105.44557940124142
Episode = 109, Score = 141.90915836677632, Avg_Score = 118.49932093235698
Episode = 110, Score = -214.94143159988838, Avg_Score = 91.98989394254336
Episode = 111, Score = 238.112712964414, Avg_Score = 110.82021305154865
Episode = 112, Score = 7.018402353544957, Avg_Score = 83.50703643340252
Episode = 113, Score = 287.21955264760925, Avg_Score = 112.5528475290977
Episode = 114, Score = 263.29219068582995, Avg_Score = 111.16494448434571
Episode = 115, Score = 259.3193107080398, Avg_Score = 109.29636153159927
Episode = 116, Score = 260.73394370870744, Avg_Score = 136.42147446750505
Episode = 117, Score = 66.16090816686452, Avg_Score = 142.88289705135878
Episode = 118, Score = 261.9758582902599, Avg_Score = 157.08006062921578
Episode = 119, Score = 244.96129470437387, Avg_Score = 167.3852742629755
Episode = 120, Score = -41.16863536747666, Avg_Score = 184.7625538862167
Episode = 121, Score = 114.23057529402953, Avg_Score = 172.37434011917827
Episode = 122, Score = 28.507328272018157, Avg_Score = 174.52323271102557
Episode = 123, Score = 281.33604328819496, Avg_Score = 173.93488177508416
Episode = 124, Score = 242.24039121710533, Avg_Score = 171.82970182821168
Episode = 125, Score = 234.52047418037097, Avg_Score = 169.3498181754448
Episode = 126, Score = 154.51469509278758, Avg_Score = 158.7278933138528
Episode = 127, Score = 247.19606306057776, Avg_Score = 176.83140880322415
Episode = 128, Score = 236.5290341794629, Avg_Score = 174.28672639214443
Episode = 129, Score = 222.07864011843787, Avg_Score = 171.99846093355086
Episode = 130, Score = 226.06812119427238, Avg_Score = 198.72213658972572
Episode = 131, Score = 255.29350976068662, Avg_Score = 212.82843003639147
Episode = 132, Score = 225.79015502228393, Avg_Score = 232.55671271141804
Episode = 133, Score = -81.35922321812531, Avg_Score = 196.28718606078598
Episode = 134, Score = -26.043442326889192, Avg_Score = 169.45880270638656
Episode = 135, Score = 279.96848033247596, Avg_Score = 174.00360332159704
Episode = 136, Score = 57.312442840143774, Avg_Score = 164.28337809633268
Episode = 137, Score = -25.962481761926313, Avg_Score = 136.96752361408227
Episode = 138, Score = -15.413384173851242, Avg_Score = 111.77328177875086
Episode = 139, Score = -1.6047143861474211, Avg_Score = 89.40494632829231
