Episode = 91, Score = 76.9799467191407, Avg_Score = 86.43449982223629
Episode = 92, Score = -14.406663133504964, Avg_Score = 86.66859119838405
Episode = 93, Score = 68.6557562215347, Avg_Score = 84.91302367933287
Episode = 94, Score = 24.17308131819172, Avg_Score = 85.59721199830896
Episode = 95, Score = 78.33998652257193, Avg_Score = 80.17444746065402
Episode = 96, Score = 192.14691557202727, Avg_Score = 84.52880871823174
Episode = 97, Score = 74.68550024083149, Avg_Score = 83.60592180786045
Episode = 98, Score = 57.96330588537154, Avg_Score = 69.63545655608391
Episode = 99, Score = 160.52937516879956, Avg_Score = 75.25416544050081
Episode = 100, Score = 91.54561467722377, Avg_Score = 81.06128191921877
Episode = 101, Score = 175.6982179346983, Avg_Score = 90.93310904077453
Episode = 102, Score = 48.816475735699164, Avg_Score = 97.25542292769494
Episode = 103, Score = 59.24745766664259, Avg_Score = 96.31459307220574
Episode = 104, Score = 141.02638739546057, Avg_Score = 107.99992367993264
Episode = 105, Score = 110.35197035807082, Avg_Score = 111.20112206348252
Episode = 106, Score = 32.7632542686172, Avg_Score = 95.2627559331415
Episode = 107, Score = 166.09743155804895, Avg_Score = 104.40394906486324
Episode = 108, Score = 82.94881360488819, Avg_Score = 106.90249983681493
Episode = 109, Score = 141.56424410182723, Avg_Score = 105.00598673011768
Episode = 110, Score = 154.0703293078273, Avg_Score = 111.25845819317801
Episode = 111, Score = 154.9293430760871, Avg_Score = 109.18157070731691
Episode = 112, Score = 114.23103389148365, Avg_Score = 115.72302652289537
Episode = 113, Score = 130.27626158120552, Avg_Score = 122.82590691435163
Episode = 114, Score = 82.62012152032489, Avg_Score = 116.98528032683808
Episode = 115, Score = 114.18556124298682, Avg_Score = 117.36863941532968
Episode = 116, Score = 67.7134558080005, Avg_Score = 120.86365956926802
Episode = 117, Score = 159.7815952195315, Avg_Score = 120.23207593541629
Episode = 118, Score = -33.58610327158463, Avg_Score = 108.578584247769
Episode = 119, Score = -215.19372606548967, Avg_Score = 72.9027872310373
Episode = 120, Score = 99.30653893013056, Avg_Score = 67.42640819326762
Episode = 121, Score = 175.70651125967532, Avg_Score = 69.50412501162646
Episode = 122, Score = 67.05620564363234, Avg_Score = 64.7866421868413
Episode = 123, Score = 71.85337431808885, Avg_Score = 58.944353460529655
Episode = 124, Score = 130.36766449611704, Avg_Score = 63.71910775810886
Episode = 125, Score = 36.69783418222676, Avg_Score = 55.970335052032866
Episode = 126, Score = 124.50193435188626, Avg_Score = 61.64918290642144
Episode = 127, Score = 202.92476860602156, Avg_Score = 65.96350024507043
Episode = 128, Score = 60.878372729468836, Avg_Score = 75.4099478451758
Episode = 129, Score = 105.71988485458178, Avg_Score = 107.50130893718293
Episode = 130, Score = 34.31149795955914, Avg_Score = 101.00180484012579
Episode = 131, Score = 58.540243581114396, Avg_Score = 89.2851780722697
Episode = 132, Score = 115.38316184026465, Avg_Score = 94.11787369193293
Episode = 133, Score = 102.26520888725591, Avg_Score = 97.15905714884963
Episode = 134, Score = 9.497375532103561, Avg_Score = 85.07202825244829
Episode = 135, Score = 30.555648039963927, Avg_Score = 84.457809638222
Episode = 136, Score = 169.9662251370529, Avg_Score = 89.00423871673867
Episode = 137, Score = 154.83765391525762, Avg_Score = 84.19552724766228
Episode = 138, Score = 92.14176336031679, Avg_Score = 87.32186631074707
Episode = 139, Score = -0.7201668861311532, Avg_Score = 76.67786113667577
Episode = 140, Score = 131.90085134117925, Avg_Score = 86.43679647483778
Episode = 141, Score = 57.30674201371734, Avg_Score = 86.31344631809807
Episode = 142, Score = 51.08227290584466, Avg_Score = 79.88335742465608
Episode = 143, Score = -28.153237333562828, Avg_Score = 66.84151280257421
Episode = 144, Score = 169.85743065192142, Avg_Score = 82.87751831455599
Episode = 145, Score = 144.58331484298282, Avg_Score = 94.28028499485788
Episode = 146, Score = 172.63468249531374, Avg_Score = 94.54713073068397
Episode = 147, Score = 163.29701470585363, Avg_Score = 95.39306680974356
Episode = 148, Score = 34.42203847215666, Avg_Score = 89.62109432092754
Episode = 149, Score = 173.97590072203218, Avg_Score = 107.09070108174387
Episode = 150, Score = 142.47957427697602, Avg_Score = 108.14857337532355
Episode = 151, Score = -19.78914722512971, Avg_Score = 100.43898445143887
Episode = 152, Score = 4.204005918046094, Avg_Score = 95.751157752659
Episode = 153, Score = 95.13583111758075, Avg_Score = 108.08006459777334
Episode = 154, Score = 119.23848726032514, Avg_Score = 103.01817025861374
Episode = 155, Score = 164.71806880205352, Avg_Score = 105.0316456545208
Episode = 156, Score = 65.70527050950315, Avg_Score = 94.33870445593975
Episode = 157, Score = 44.57357116982476, Avg_Score = 82.46636010233686
Episode = 158, Score = 57.262598692666444, Avg_Score = 84.75041612438783
Episode = 159, Score = 46.800420650402145, Avg_Score = 72.03286811722482
Episode = 160, Score = 85.63321753779539, Avg_Score = 66.34823244330678
Episode = 161, Score = 126.88158009360234, Avg_Score = 81.01530517517998
Episode = 162, Score = 126.21479324220402, Avg_Score = 93.21638390759577
Episode = 163, Score = 63.0341609718303, Avg_Score = 90.00621689302072
Episode = 164, Score = 157.1762820196109, Avg_Score = 93.7999963689493
Episode = 165, Score = 55.46225336631113, Avg_Score = 82.87441482537506
Episode = 166, Score = 142.68310696679, Avg_Score = 90.57219847110375
Episode = 167, Score = 152.93816646591372, Avg_Score = 101.40865800071262
Episode = 168, Score = 114.84539606236282, Avg_Score = 107.16693773768228
Episode = 169, Score = 22.966499792638814, Avg_Score = 104.78354565190594
Episode = 170, Score = 70.18959159399103, Avg_Score = 103.23918305752552
Episode = 171, Score = 49.80323057787791, Avg_Score = 95.53134810595307
Episode = 172, Score = 130.50139609889106, Avg_Score = 95.96000839162177
Episode = 173, Score = 125.71508722429074, Avg_Score = 102.22810101686781
Episode = 174, Score = 152.16575588697305, Avg_Score = 101.72704840360404
Episode = 175, Score = 117.65882577481129, Avg_Score = 107.94670564445406
Episode = 176, Score = 85.40528379283475, Avg_Score = 102.21892332705852
Episode = 177, Score = 103.24097263582163, Avg_Score = 97.24920394404931
Episode = 178, Score = 19.28202216580445, Avg_Score = 87.69286655439348
Episode = 179, Score = 136.8153532446731, Avg_Score = 99.0777518995969
Episode = 180, Score = 63.52572783345963, Avg_Score = 98.41136552354376
Episode = 181, Score = 61.928185337412835, Avg_Score = 99.62386099949727
Episode = 182, Score = 42.77075353776459, Avg_Score = 90.8507967433846
Episode = 183, Score = 142.60345631574864, Avg_Score = 92.5396336525304
Episode = 184, Score = 40.42535621156229, Avg_Score = 81.3655936849893
Episode = 185, Score = 98.47311894275049, Avg_Score = 79.44702300178325
Episode = 186, Score = 140.24399487944305, Avg_Score = 84.93089411044407
Episode = 187, Score = 153.43917978337743, Avg_Score = 89.95071482519964
Episode = 188, Score = -15.310569920352222, Avg_Score = 86.49145561658398
Episode = 189, Score = 134.60603923292408, Avg_Score = 86.2705242154091
Episode = 190, Score = 55.80684939708655, Avg_Score = 85.49863637177177
Episode = 191, Score = -41.54698853743989, Avg_Score = 75.15111898428651
Episode = 192, Score = 123.3083848960012, Avg_Score = 83.20488212011017
Episode = 193, Score = 164.5022263517295, Avg_Score = 85.39475912370825
Episode = 194, Score = 65.43408747289801, Avg_Score = 87.89563224984182
Episode = 195, Score = 94.2470861218768, Avg_Score = 87.47302896775444
Episode = 196, Score = 108.5185044205256, Avg_Score = 84.30047992186272
Episode = 197, Score = 167.56092060033023, Avg_Score = 85.71265400355799
Episode = 198, Score = 50.36218796219609, Avg_Score = 92.27992979181282
Episode = 199, Score = 117.55536267675706, Avg_Score = 90.57486213619612
Episode = 200, Score = 123.2947725803055, Avg_Score = 97.32365445451804
Episode = 201, Score = 122.03609247945045, Avg_Score = 113.68196255620703
Episode = 202, Score = 18.086735399855346, Avg_Score = 103.15979760659245
Episode = 203, Score = -4.241860795134294, Avg_Score = 86.28538889190608
Episode = 204, Score = -22.83482780968903, Avg_Score = 77.45849736364738
Episode = 205, Score = 52.79749782528282, Avg_Score = 73.31353853398797
Episode = 206, Score = 71.43431967064438, Avg_Score = 69.60512005899986
Episode = 207, Score = 104.53099615589326, Avg_Score = 63.30212761455616
Episode = 208, Score = 112.66326977645433, Avg_Score = 69.53223579598198
Episode = 209, Score = 155.5055000789959, Avg_Score = 73.32724953620587
Episode = 210, Score = 102.24391746264476, Avg_Score = 71.22216402443979
Episode = 211, Score = 134.8501713044411, Avg_Score = 72.50357190693886
Episode = 212, Score = 96.66146953700844, Avg_Score = 80.36104532065417
Episode = 213, Score = 25.506603402017987, Avg_Score = 83.33589174036939
Episode = 214, Score = 60.69425163895808, Avg_Score = 91.68879968523412
Episode = 215, Score = 135.88509911952383, Avg_Score = 99.99755981465822
Episode = 216, Score = 9.664274542857214, Avg_Score = 93.82055530187951
Episode = 217, Score = 14.125440429157726, Avg_Score = 84.77999972920594
Episode = 218, Score = 123.50278211497842, Avg_Score = 85.86395096305834
Episode = 219, Score = 113.26270788666397, Avg_Score = 81.63967174382516
Episode = 220, Score = 90.14771873495046, Avg_Score = 80.43005187105572
Episode = 221, Score = 81.65995275278128, Avg_Score = 75.11103001588972
Episode = 222, Score = 69.11529755309533, Avg_Score = 72.35641281749842
Episode = 223, Score = 33.374517416360874, Avg_Score = 73.14320421893271
Episode = 224, Score = 119.10211912952178, Avg_Score = 78.9839909679891
Episode = 225, Score = 18.468779027512102, Avg_Score = 67.2423589587879
Episode = 226, Score = 171.65960180626465, Avg_Score = 83.44189168512867
Episode = 227, Score = 145.86311102534253, Avg_Score = 96.61565874474714
Episode = 228, Score = 124.61259948906073, Avg_Score = 96.72664048215537
