Episode = 92, Score = -68.71883843536266, Avg_Score = 106.25298260430554
Episode = 93, Score = 250.47728981914884, Avg_Score = 107.8037816066157
Episode = 94, Score = -152.0100663856444, Avg_Score = 105.03980450031506
Episode = 95, Score = -323.42176554088337, Avg_Score = 100.5296827104077
Episode = 96, Score = 200.06608006222632, Avg_Score = 101.56652018282246
Episode = 97, Score = 266.53494561824243, Avg_Score = 103.26722559968246
Episode = 98, Score = 267.3117187263699, Avg_Score = 104.9411489989344
Episode = 99, Score = 260.53529948652204, Avg_Score = 106.5128070846676
Episode = 100, Score = 214.07347389596555, Avg_Score = 107.58841375278058
Episode = 101, Score = 232.26875798771985, Avg_Score = 110.82815616155553
Episode = 102, Score = -28.6263741260305, Avg_Score = 112.55399860324768
Episode = 103, Score = 229.70499980870989, Avg_Score = 117.56269066909273
Episode = 104, Score = -168.5189963680982, Avg_Score = 116.8881721643251
Episode = 105, Score = -344.72802566563087, Avg_Score = 115.52326420101151
Episode = 106, Score = 138.95958618307998, Avg_Score = 117.20161363271123
Episode = 107, Score = -42.71826623263634, Avg_Score = 118.02415826409653
Episode = 108, Score = 147.66249686384543, Avg_Score = 120.82676384404294
Episode = 109, Score = 259.86613858520525, Avg_Score = 121.52153176317313
Episode = 110, Score = 246.15637669897464, Avg_Score = 121.56977571142828
Episode = 111, Score = -112.53524201311593, Avg_Score = 118.83828602550734
Episode = 112, Score = -132.5873046220119, Avg_Score = 117.6508440210177
Episode = 113, Score = -25.22534199624704, Avg_Score = 117.77060975852072
Episode = 114, Score = 236.37705495992802, Avg_Score = 121.51108327065309
Episode = 115, Score = -21.856106671380516, Avg_Score = 120.42382909667978
Episode = 116, Score = -348.0208580628919, Avg_Score = 118.68262683173909
Episode = 117, Score = -111.21552526161132, Avg_Score = 115.38920765667515
Episode = 118, Score = -146.55668527949894, Avg_Score = 112.79522577642146
Episode = 119, Score = 206.87947847713764, Avg_Score = 115.37938385211977
Episode = 120, Score = -18.88798292667039, Avg_Score = 115.71474845781218
Episode = 121, Score = 247.17493294293536, Avg_Score = 116.17226119506996
Episode = 122, Score = 171.3520638196407, Avg_Score = 115.05218030344433
Episode = 123, Score = 183.86670575514722, Avg_Score = 115.21852181144115
Episode = 124, Score = 285.24418763025756, Avg_Score = 115.39844449466123
Episode = 125, Score = -29.8069955663523, Avg_Score = 115.1139729043485
Episode = 126, Score = 212.63908121229449, Avg_Score = 117.83013898184747
Episode = 127, Score = -330.8299839913828, Avg_Score = 112.18694380689139
Episode = 128, Score = 231.28612142976124, Avg_Score = 114.47270415204854
Episode = 129, Score = 165.26933764394505, Avg_Score = 114.1989191736207
Episode = 130, Score = 272.99815038727235, Avg_Score = 117.78575769386906
Episode = 131, Score = 240.55152233727483, Avg_Score = 117.442188344728
Episode = 132, Score = 257.06724328801, Avg_Score = 119.08087040960838
Episode = 133, Score = -185.58904242141685, Avg_Score = 115.1352604766161
Episode = 134, Score = -5.474931135810479, Avg_Score = 113.37583413174592
Episode = 135, Score = -122.32259326317475, Avg_Score = 109.8146324483076
Episode = 136, Score = -148.39886312485405, Avg_Score = 106.31347007721666
Episode = 137, Score = -146.37894157675453, Avg_Score = 102.94190696443704
Episode = 138, Score = -159.7966910274415, Avg_Score = 99.49586411157762
Episode = 139, Score = -118.85273075014894, Avg_Score = 95.85163848207168
Episode = 140, Score = 179.70954625852266, Avg_Score = 94.94762159657343
Episode = 141, Score = 237.68807091841725, Avg_Score = 94.60139625015356
Episode = 142, Score = -117.2422867295341, Avg_Score = 94.32589709620075
Episode = 143, Score = -219.2409228111702, Avg_Score = 92.42753660796396
Episode = 144, Score = 227.09962370502808, Avg_Score = 94.97630001555723
Episode = 145, Score = -237.88627730805095, Avg_Score = 93.81330454643705
Episode = 146, Score = 241.17425490313045, Avg_Score = 96.83544971482699
Episode = 147, Score = 213.9789670914741, Avg_Score = 99.24822942159629
Episode = 148, Score = 229.87549948577723, Avg_Score = 104.07656803458929
Episode = 149, Score = -272.9555857441384, Avg_Score = 98.64716909117742
Episode = 150, Score = 231.697008250727, Avg_Score = 99.19127802160057
Episode = 151, Score = 147.68926012543682, Avg_Score = 100.07508779441828
Episode = 152, Score = 150.3687107054413, Avg_Score = 99.16916102391401
Episode = 153, Score = 197.50793027571223, Avg_Score = 98.61612702299747
Episode = 154, Score = -42.14089104238185, Avg_Score = 95.55917306159317
Episode = 155, Score = -196.41649946663912, Avg_Score = 90.9716696618851
Episode = 156, Score = 223.4482942655227, Avg_Score = 96.2665004657495
Episode = 157, Score = 264.34700061241574, Avg_Score = 98.61412316590672
Episode = 158, Score = 228.93313407581093, Avg_Score = 98.60700762941912
Episode = 159, Score = 205.87087440973042, Avg_Score = 98.23925872516807
Episode = 160, Score = 21.42593921209904, Avg_Score = 97.92388756671899
Episode = 161, Score = 257.8073985535236, Avg_Score = 97.6254936507047
Episode = 162, Score = 254.39525724224333, Avg_Score = 97.258127372527
Episode = 163, Score = -14.829576840922101, Avg_Score = 94.59989665338571
